mean_H,std_H,opacity_up,opacity_down,opacity_temp_mi1,opacity_temp_decay,tcomp,gzip,gzip_byte,fractal_dim,score,score_geom,w_H,w_OP_s,w_OP_t,w_geom,w_T,w_G,w_dim,K,seed,hamming
0.996259,0.002239,0.0,0.987552,0.268615,0.0,0.817575,0.0334,0.0196,,0.017028,0.0,0.272737,0.352884,0.0,0.0,0.549267,0.32211,,2.75,4,0.178317
0.998478,0.002179,0.322749,0.998731,0.210731,0.021077,0.74315,0.9234,0.156675,,0.025669,0.028549,0.111724,0.159622,0.201651,0.40182,0.986581,0.644597,,2.75,5,0.253116
0.997774,0.003197,0.310218,0.998112,0.112148,0.0,0.684875,0.9812,0.159075,,0.005447,0.0,0.171373,0.200534,0.0,0.0,0.852925,0.185816,,2.75,6,0.311683
0.994927,0.005229,0.121544,0.995146,0.270821,0.020341,0.79305,0.8314,0.148625,,0.307597,0.082078,0.421942,0.866329,0.198872,0.284236,0.733029,0.933636,,2.75,7,0.202965
0.996648,0.004451,0.271765,0.996392,0.10813,0.003997,0.7033,0.9702,0.1591,,0.029605,0.008567,0.272445,0.365164,0.031706,0.114848,0.945828,0.289481,,2.75,8,0.293166
0.993717,0.006067,0.108573,0.994793,0.118533,0.0,0.728625,0.9372,0.1597,,0.250763,0.0,0.53526,0.841711,0.0,0.0,0.999852,0.556674,,2.75,9,0.267714
0.997814,0.003029,0.331704,0.997515,0.144063,0.01312,0.7161,0.954,0.158625,,0.01792,0.023445,0.166899,0.136843,0.116597,0.331585,0.985019,0.430084,,3.0,0,0.280302
0.995804,0.004428,0.121518,0.996085,0.215306,0.0,0.77225,0.8616,0.1548,,0.22306,0.0,0.338932,0.85799,0.0,0.0,0.86983,0.881844,,3.0,1,0.223869
0.998353,0.002192,0.313198,0.997705,0.163553,0.0,0.7321,0.9392,0.1567,,0.012559,0.0,0.120951,0.191399,0.0,0.0,0.999656,0.542718,,3.0,2,0.264221
0.997852,0.003381,0.32585,0.998598,0.049976,0.0,0.659275,0.9892,0.160175,,0.001834,0.0,0.166861,0.150985,0.0,0.0,0.676527,0.107582,,3.0,3,0.337412
0.997492,0.003307,0.300037,0.996089,0.174826,0.005334,0.7314,0.9152,0.15565,,0.039146,0.025159,0.19388,0.242507,0.050151,0.188089,0.999847,0.690023,,3.0,4,0.264925
0.996292,0.005012,0.202586,0.997009,0.115091,0.0,0.690825,0.9696,0.159675,,0.05734,0.0,0.308441,0.71053,0.0,0.0,0.887012,0.294969,,3.0,5,0.305704
0.996853,0.004093,0.311159,0.997544,0.102032,0.001438,0.670575,0.9856,0.160275,,0.005731,0.000899,0.251844,0.198594,0.011071,0.032879,0.7589,0.143013,,3.0,6,0.326055
0.99108,0.007801,0.070852,0.989609,0.253533,0.033189,0.79635,0.8152,0.146925,,0.552383,0.131976,0.783312,0.729076,0.316218,0.249742,0.708978,0.951557,,3.0,7,0.199648
0.998225,0.002315,0.320445,0.995427,0.137105,0.002993,0.70935,0.9606,0.159375,,0.009443,0.004655,0.131031,0.172505,0.026297,0.097992,0.967235,0.374803,,3.0,8,0.287085
0.9978,0.003153,0.317898,0.99451,0.144012,0.0,0.7001,0.974,0.1587,,0.007303,0.0,0.168997,0.182222,0.0,0.0,0.932539,0.254296,,3.0,9,0.296382
0.997551,0.003083,0.323151,0.998306,0.072679,0.008405,0.65,0.9886,0.160175,,0.003064,0.002891,0.187331,0.159221,0.052078,0.19939,0.681941,0.113509,,3.5,0,0.346734
0.996507,0.005571,0.296253,0.997511,0.058191,0.0,0.640075,0.9936,0.16045,,0.003644,0.0,0.298078,0.253569,0.0,0.0,0.754309,0.063913,,3.5,1,0.356709
0.996209,0.004649,0.232795,0.9972,0.076091,0.00435,0.685675,0.9798,0.159375,,0.031201,0.005002,0.310094,0.560728,0.02789,0.094372,0.857707,0.199297,,3.5,2,0.310879
0.99676,0.004566,0.246058,0.997521,0.068613,0.0,0.64655,0.9974,0.160475,,0.002385,0.0,0.264848,0.489733,0.0,0.0,0.707507,0.025994,,3.5,3,0.350201
0.997148,0.004158,0.331492,0.998027,0.081936,0.0,0.6491,0.9938,0.1599,,0.001335,0.0,0.22922,0.136618,0.0,0.0,0.688643,0.061921,,3.5,4,0.347638
0.997211,0.003711,0.281626,0.99791,0.048134,0.002981,0.628925,0.9988,0.16075,,0.000715,8.8e-05,0.219584,0.313897,0.013329,0.040446,0.82944,0.011999,,3.5,5,0.367915
0.997273,0.003309,0.321848,0.997801,0.030989,0.0,0.604575,1.0012,0.160725,,0.0,0.0,0.210589,0.16398,0.0,0.0,0.953914,0.0,,3.5,6,0.392387
0.998099,0.002602,0.308776,0.998678,0.069721,0.0,0.658975,0.9944,0.159775,,0.001096,0.0,0.142321,0.20418,0.0,0.0,0.674283,0.055942,,3.5,7,0.337714
0.997009,0.004012,0.325978,0.997884,0.026675,0.0,0.60535,1.0014,0.16025,,0.0,0.0,0.238618,0.151846,0.0,0.0,0.951035,0.0,,3.5,8,0.391608
0.997316,0.003546,0.305303,0.99796,0.056121,0.005034,0.63715,0.9946,0.1609,,0.002137,0.00082,0.209726,0.218141,0.025596,0.093492,0.774788,0.053948,,3.5,9,0.359648
0.991899,0.008814,0.147912,0.992791,0.084042,0.0,0.6402,0.9872,0.160725,,0.063705,0.0,0.739203,0.898513,0.0,0.0,0.753423,0.127305,,4.0,0,0.356583
0.996328,0.005468,0.276586,0.997304,0.034634,0.0,0.626275,0.993,0.160375,,0.006245,0.0,0.311662,0.338958,0.0,0.0,0.84595,0.069886,,4.0,1,0.370578
0.996798,0.004287,0.296419,0.997374,0.0368,0.0,0.61715,1.0006,0.160725,,0.0,0.0,0.258495,0.253291,0.0,0.0,0.897787,0.0,,4.0,2,0.379749
0.99579,0.006086,0.297466,0.99712,0.02524,0.003256,0.5854,1.0022,0.16065,,0.0,0.0,0.365278,0.249857,0.008044,0.021315,0.997724,0.0,,4.0,3,0.411658
0.997481,0.003,0.330164,0.997836,0.022049,0.0,0.6018,0.9988,0.160675,,0.000311,0.0,0.191821,0.140423,0.0,0.0,0.963553,0.011999,,4.0,4,0.395176
0.997094,0.004473,0.324642,0.998153,0.035323,0.0,0.5997,1.0022,0.1603,,0.0,0.0,0.237005,0.155181,0.0,0.0,0.970135,0.0,,4.0,5,0.397286
0.997086,0.003749,0.331045,0.998013,0.010992,0.0,0.57545,1.0022,0.161575,,0.0,0.0,0.229677,0.137814,0.0,0.0,0.998384,0.0,,4.0,6,0.421658
0.996685,0.005305,0.321867,0.996684,0.043459,0.0,0.61255,1.0022,0.1602,,0.0,0.0,0.279967,0.165929,0.0,0.0,0.92056,0.0,,4.0,7,0.384372
0.997082,0.003779,0.297933,0.997062,0.053682,0.0,0.6277,1.0008,0.16055,,0.0,0.0,0.230327,0.248175,0.0,0.0,0.837146,0.0,,4.0,8,0.369146
0.997122,0.003608,0.303555,0.997825,0.034635,0.0,0.5982,1.0022,0.160675,,0.0,0.0,0.22536,0.22484,0.0,0.0,0.974454,0.0,,4.0,9,0.398794
0.996107,0.00501,0.307648,0.997318,0.006392,0.0,0.54225,1.0022,0.160575,,0.0,0.0,0.32343,0.211286,0.0,0.0,0.894641,0.0,,5.0,0,0.455025
0.996929,0.004222,0.330722,0.997944,0.002839,0.0,0.536525,1.0022,0.160925,,0.0,0.0,0.247354,0.138773,0.0,0.0,0.862723,0.0,,5.0,1,0.460779
0.997124,0.003831,0.312556,0.998168,0.00298,0.0,0.543075,1.0022,0.160525,,0.0,0.0,0.227605,0.192537,0.0,0.0,0.898957,0.0,,5.0,2,0.454196
0.995064,0.006276,0.297516,0.99637,0.003257,0.001041,0.55035,1.0022,0.16115,,0.0,0.0,0.429163,0.251672,0.000339,0.000315,0.933624,0.0,,5.0,3,0.446884
0.996011,0.005249,0.312081,0.9972,0.007975,0.0,0.561125,1.0022,0.1613,,0.0,0.0,0.334757,0.196211,0.0,0.0,0.972551,0.0,,5.0,4,0.436055
0.995554,0.005838,0.31776,0.997058,0.012482,0.0,0.55285,1.0022,0.1612,,0.0,0.0,0.381274,0.177931,0.0,0.0,0.944039,0.0,,5.0,5,0.444372
0.997138,0.003595,0.329957,0.998042,0.01161,0.0,0.5426,1.0022,0.16025,,0.0,0.0,0.22399,0.140653,0.0,0.0,0.896481,0.0,,5.0,6,0.454673
0.996953,0.004074,0.328953,0.997896,0.01684,0.001141,0.5648,1.0022,0.1615,,0.0,0.0,0.243739,0.14359,0.001903,0.003251,0.982112,0.0,,5.0,7,0.432362
0.995786,0.006249,0.310672,0.997135,0.005912,0.000646,0.548025,1.0022,0.161325,,0.0,0.0,0.368019,0.201149,0.000381,0.000374,0.923232,0.0,,5.0,8,0.449221
0.997028,0.004296,0.331344,0.998052,0.008016,0.00199,0.56965,1.0022,0.161075,,0.0,0.0,0.240338,0.136966,0.001591,0.002569,0.991666,0.0,,5.0,9,0.427487
