rule,C_peak,AUC,scale_entropy,beta_var,entity_scale,C_unified
112,0.296973994638754,0.5520491637259988,1.4341779678738447,0.014174284738587256,2,0.41996091456033063
74,0.30681815065868273,0.6206204566581115,1.3686510046394316,0.003509550162241267,0,0.41845836950204146
94,0.2732754710291508,0.5807637277599951,1.5072883848300167,0.011103541645081254,4,0.40738156516692137
170,0.29933886891017747,0.5501035584079963,1.386654106853807,0.0220704259480857,2,0.40611631192658554
185,0.38421905133940576,0.5243250436636638,1.0757450055342344,0.026427842904039572,2,0.40267976786372955
115,0.44514807678053425,0.6480939339507593,0.8969236393456728,0.011264885989410096,0,0.39481627277415904
59,0.4375638971860422,0.6474485381480244,0.9096269731483433,0.010685016896090237,0,0.39381203510732704
1,0.19687283146107062,0.7157487141198015,1.989155428317023,0.000247042162084184,4,0.39151394093847547
241,0.4024090422609349,0.7143125654815188,0.988388560964606,0.017165792558796338,0,0.3910242529871943
214,0.48072641002119465,0.6363205560412721,0.8024790965611663,0.01762930009097358,0,0.3790898072337481
43,0.2577345558667396,0.5607567361779839,1.4910396100966783,0.017911597604443948,2,0.3775302615594309
6,0.19024536503985867,0.6278284191121609,1.9759874855506625,0.0006950465304418089,2,0.3756613583790159
7,0.3835249989791413,0.6542402096735859,0.9785605237512738,0.012326196264352522,0,0.37073269985273705
211,0.46027882499000383,0.6160296648802486,0.8158770813363347,0.015458892068652969,0,0.3698140291713287
24,0.250262584139313,0.5025043026948804,1.4999598194307284,0.015140372666454531,1,0.3697851357540398
215,0.40805682107307406,0.5992433593909131,0.9034945182081229,0.009359906484844594,0,0.3652583172645474
189,0.3845880783446755,0.6189437100110952,0.9572070341038111,0.009395537874653088,0,0.3647038252210953
174,0.3717284724030521,0.637227525039961,0.979996040256419,0.011903141752455354,0,0.36000721410417014
37,0.23410426745497193,0.567411547193925,1.5463349981629597,0.012621806013347852,2,0.3574914344478903
28,0.2371468024042832,0.537018387260422,1.5011322074293454,0.0009157023066763474,0,0.3556630215287391
188,0.3860662824879201,0.5795922012765873,0.9188616009694917,0.008280560468363628,0,0.35182814815194574
173,0.3627658678346018,0.6171986833598965,0.9776607485754201,0.010868583183394148,0,0.3508487213915571
16,0.41225961201735606,0.5247378139832803,0.8859124014632921,0.043669986665654414,1,0.34994385924180377
25,0.2757598097697619,0.5273705524540028,1.3117222828643373,0.04783092425901501,2,0.34520863893115383
90,0.23124536404387738,0.46106762338832,1.4918676447904744,0.0010599119884531184,0,0.3446222074157281
186,0.39696043211790527,0.5534703843709937,0.8592101800879515,0.00992864562191334,0,0.3377193486355506
157,0.22897387150075052,0.4389245514377671,1.473971133926252,0.001670678768550508,0,0.33693796191615316
58,0.3718569414936527,0.613193004822251,0.967943695396182,0.0695291488858545,2,0.3365374216149599
5,0.19959644874838017,0.5201329820287721,1.6785352130129678,0.019701419657214257,1,0.3285566354601318
158,0.3324789570929528,0.6266483478317764,0.9974307090287147,0.017050250065837016,0,0.32606522823123474
144,0.4504595387481336,0.5563889229654603,0.7453746429546511,0.05647430160223776,1,0.3178128586286435
71,0.2070401121350156,0.4654621932758617,1.5293587524673975,0.005325677575774138,4,0.3149612256687352
67,0.24069703687607455,0.5148241934972249,1.3456119677543632,0.03714010758103251,2,0.31228646067778637
212,0.2797455717559551,0.4125770633770083,1.112409403085538,0.0036034528452552066,0,0.31007426649502257
70,0.20402007905256705,0.49292434851189804,1.5062317427864138,0.0019262479017562641,0,0.30671071835708846
244,0.31178679998623116,0.5687141177004178,0.9932774282686309,0.012205846611470663,0,0.30595633476646245
178,0.21462511209470955,0.45705615603502325,1.433376368072596,0.01851784853798341,4,0.3020453339262379
199,0.2039081728734857,0.40215875616906027,1.4848849151821222,0.010999933643895426,4,0.29948584555380947
165,0.20168613907141275,0.4182632040028195,1.4817905208104878,3.7620927532711175e-05,0,0.2988453662150193
198,0.19635149176826186,0.47732833767394156,1.511147220941196,0.0017819055426177698,0,0.29618823166161107
156,0.2167325299679948,0.4345011366251822,1.3909923452536284,0.019099142374222538,4,0.29582331847575005
179,0.1936038311611955,0.46087577933884216,1.5139351052373726,0.0012081509753613681,0,0.2927499503653122
61,0.29237321361749286,0.5362601760561185,0.9943118504092976,0.022667924459307515,4,0.2842664212782687
42,0.19469143106814066,0.3725106140789996,1.4720486605948497,0.010034230645128043,4,0.28374806678591197
118,0.3338198508027941,0.4608182542946607,0.8495984970492537,0.007252620040170847,0,0.28157071809448264
142,0.21850897862251165,0.39541447895385673,1.2758767281763392,0.0014132362765101136,0,0.27839707986949774
114,0.33357940874369874,0.4673481593820463,0.864028099144455,0.036653896179315026,2,0.27803106081288875
62,0.32915150527914133,0.45303581526539566,0.8475522038747014,0.007121634209406688,0,0.2770003882669111
187,0.2917828847665685,0.45848032266212835,0.9458330454627906,0.005017604447083742,0,0.2746000600303044
227,0.36859535743028177,0.47005717879145575,0.7525169153136128,0.01212243826010879,0,0.27405206216865907
154,0.4092667877232591,0.49877127936065146,0.6788723078178959,0.01814195961453393,0,0.27288914484979604
171,0.27396870201234624,0.5154737984971774,0.9973299797115364,0.01888975124374917,4,0.2681715069623884
95,0.1695312371824316,0.46501807683822505,1.57971755323956,0.003936727881283903,4,0.2667613045342985
91,0.2715106871898341,0.48089669492207116,0.9879278758671883,0.0077097638707738754,0,0.26618078546779955
103,0.26440556705917945,0.4648769721078255,0.9863128896227648,0.020200539849938647,4,0.25562289833412954
139,0.25878113589531176,0.503582250850324,0.999600692154308,0.015728584275444952,4,0.25467216987100516
209,0.26317157964673127,0.46350965966031005,0.9867031914193588,0.01994296008068761,4,0.2545948623516761
229,0.26797084122537157,0.4090765113262633,0.9294650078462154,0.004023152621129159,0,0.24807149057456446
148,0.36193551066647045,0.4307270610263477,0.633732946949821,0.032264161974214875,2,0.22220131845106156
108,0.14864051259019473,0.2890186487392117,1.4825358178738084,0.00485447613895604,4,0.21930029584862332
194,0.1498579217689937,0.282278415964633,1.4667838484602966,0.008248411377603791,1,0.21801093533512636
19,0.20770105066853775,0.41085208118422895,1.0002077952011377,0.00980053628806976,4,0.20572796555821388
152,0.16863362602535073,0.24935914911021845,1.2283170101630738,0.0082650351780752,1,0.20543760232232328
66,0.13236318971823952,0.3061361274840042,1.5506398113020021,0.007836610372612665,1,0.20365169256169294
46,0.22517261284945903,0.3238863490925482,0.889129196044135,0.025472437927224197,4,0.1952344469039792
242,0.1942969477103,0.37535201264109774,0.9993491692425853,0.008999435993488696,4,0.19243865393192489
133,0.13075807336450293,0.24044879463132665,1.4258577276440842,0.00016741269787989572,0,0.18641120175642753
55,0.18059527001587666,0.34143506643867916,0.9975837282945718,0.008127261194850402,4,0.178706508304592
130,0.1082861313602683,0.3151380931997249,1.5839765740058858,0.007836068880764243,1,0.17018908199512128
23,0.1653314534017181,0.3193630614206431,0.9990967440441325,0.006517865744433641,4,0.16411245384061807
33,0.16690717333546776,0.27144948972679955,0.9650535807409066,0.0018363557317407394,0,0.1607791176245423
