mean_H,std_H,opacity_up,opacity_down,opacity_temp_mi1,opacity_temp_decay,tcomp,gzip,gzip_byte,fractal_dim,score,score_geom,w_H,w_OP_s,w_OP_t,w_geom,w_T,w_G,w_dim,T,seed,magnetisation
0.498928,0.1841,0.517637,0.460668,0.144026,0.144016,0.717441,0.576406,0.090234,,0.788644,0.568072,1.0,0.0,0.798772,0.575367,0.987754,0.999562,,2.23,15,0.038711
0.494296,0.182819,0.497186,0.45644,0.144759,0.139051,0.716523,0.574375,0.090391,,0.779259,0.555859,1.0,0.0,0.790729,0.56404,0.985911,0.999578,,2.23,16,0.059609
0.490055,0.206111,0.538662,0.450855,0.108111,0.10188,0.699785,0.558594,0.088848,,0.568369,0.492702,1.0,0.0,0.610584,0.529297,0.931161,0.999679,,2.23,17,0.173008
0.502386,0.199304,0.543906,0.464387,0.159595,0.140652,0.726055,0.577812,0.089102,,0.81539,0.589894,1.0,0.0,0.816749,0.590878,0.998785,0.99955,,2.23,18,0.060898
0.483613,0.190723,0.50116,0.446156,0.191142,0.188297,0.766172,0.552969,0.086328,,0.824853,0.531618,1.0,0.0,0.913897,0.589006,0.902832,0.999707,,2.23,19,0.289531
0.485429,0.171687,0.478312,0.450503,0.143,0.142447,0.716445,0.566875,0.088555,,0.782447,0.547048,1.0,0.0,0.794053,0.555162,0.985749,0.99963,,2.235,0,0.104648
0.497499,0.173854,0.50748,0.458847,0.150128,0.140927,0.718613,0.575937,0.089824,,0.794937,0.565911,1.0,0.0,0.803379,0.571921,0.989922,0.999566,,2.235,1,0.015469
0.493042,0.189727,0.489692,0.455059,0.140295,0.128662,0.718496,0.562656,0.088496,,0.75231,0.547482,1.0,0.0,0.76039,0.553362,0.989714,0.999656,,2.235,2,0.159453
0.491902,0.183979,0.499582,0.453138,0.155152,0.140673,0.723418,0.566719,0.088398,,0.807528,0.566124,1.0,0.0,0.810565,0.568253,0.996621,0.999631,,2.235,3,0.063594
0.522847,0.202451,0.569759,0.478092,0.139422,0.132951,0.709004,0.58625,0.092422,,0.741992,0.573337,1.0,0.0,0.768395,0.593739,0.966146,0.999474,,2.235,4,0.049102
0.485013,0.193121,0.511055,0.447767,0.161123,0.149979,0.731953,0.560312,0.088066,,0.8352,0.575778,1.0,0.0,0.835725,0.57614,0.999702,0.99967,,2.235,5,0.130195
0.511362,0.202737,0.543438,0.468097,0.10194,0.100482,0.699316,0.568438,0.090645,,0.54581,0.492913,1.0,0.0,0.587693,0.530736,0.929087,0.99962,,2.235,6,0.248359
0.513736,0.190438,0.561526,0.472688,0.131425,0.131286,0.706562,0.588906,0.092695,,0.716683,0.558691,1.0,0.0,0.748522,0.583512,0.957992,0.999447,,2.235,7,0.045195
0.49955,0.202776,0.528742,0.460971,0.12637,0.124129,0.70873,0.573906,0.090234,,0.695389,0.540374,1.0,0.0,0.720708,0.560048,0.965274,0.999581,,2.235,8,0.143203
0.518425,0.196449,0.574846,0.477622,0.117346,0.117008,0.691621,0.592969,0.092891,,0.60604,0.509201,1.0,0.0,0.680356,0.571642,0.891301,0.999403,,2.235,9,0.036367
0.495192,0.200737,0.54455,0.455223,0.131887,0.130515,0.706309,0.566094,0.088965,,0.715485,0.545531,1.0,0.0,0.74783,0.570193,0.957097,0.999635,,2.235,10,0.002422
0.477463,0.20182,0.487401,0.444536,0.126874,0.126863,0.702813,0.558438,0.08918,,0.687272,0.509912,1.0,0.0,0.728361,0.540398,0.943889,0.99968,,2.235,11,0.009609
0.46807,0.185428,0.446587,0.436414,0.128823,0.120259,0.72125,0.550625,0.086914,,0.712031,0.51557,1.0,0.0,0.716506,0.51881,0.994036,0.999717,,2.235,12,0.260938
0.479341,0.182342,0.48529,0.444106,0.154522,0.152553,0.723633,0.555937,0.08752,,0.827629,0.56161,1.0,0.0,0.83051,0.563565,0.996838,0.999692,,2.235,13,0.01418
0.503643,0.197727,0.539139,0.465184,0.130298,0.127965,0.707988,0.579219,0.090703,,0.710864,0.548627,1.0,0.0,0.738629,0.570055,0.962855,0.999539,,2.235,14,0.040703
0.496088,0.175059,0.491934,0.459524,0.151287,0.149317,0.728184,0.575937,0.089805,,0.819679,0.569839,1.0,0.0,0.820247,0.570234,0.999742,0.999566,,2.235,15,0.177617
0.506843,0.181157,0.523848,0.467089,0.118113,0.116407,0.698164,0.582344,0.091309,,0.628626,0.50808,1.0,0.0,0.680758,0.550215,0.923872,0.999511,,2.235,16,0.091055
0.501238,0.205937,0.561628,0.460307,0.112333,0.09828,0.694668,0.570156,0.090762,,0.553103,0.489873,1.0,0.0,0.610002,0.540268,0.907077,0.999608,,2.235,17,0.034648
0.520352,0.204112,0.545294,0.478851,0.099255,0.095448,0.726055,0.581406,0.091426,,0.561666,0.526759,1.0,0.0,0.562619,0.527653,0.998785,0.99952,,2.235,18,0.40582
0.494428,0.193792,0.528535,0.453989,0.156496,0.148185,0.724687,0.566406,0.088516,,0.824137,0.581605,1.0,0.0,0.82626,0.583103,0.997798,0.999633,,2.235,19,0.001953
0.494023,0.188923,0.525823,0.457588,0.106268,0.105609,0.683477,0.575469,0.089805,,0.520697,0.446906,1.0,0.0,0.616893,0.52947,0.844428,0.999569,,2.24,0,0.021797
0.521124,0.184433,0.558834,0.475793,0.134089,0.130264,0.706816,0.584219,0.092227,,0.720631,0.560403,1.0,0.0,0.751916,0.584732,0.958879,0.999494,,2.24,1,0.048945
0.498666,0.193978,0.521912,0.459085,0.169154,0.168982,0.73541,0.57,0.089297,,0.870458,0.591976,1.0,0.0,0.872792,0.593563,0.997716,0.999609,,2.24,2,0.120312
0.499011,0.186929,0.509148,0.460054,0.146508,0.137887,0.71959,0.570625,0.089688,,0.784444,0.565162,1.0,0.0,0.791426,0.570192,0.991569,0.999605,,2.24,3,0.108008
0.535657,0.203556,0.597317,0.488382,0.128567,0.127299,0.699727,0.595625,0.093711,,0.682148,0.556377,1.0,0.0,0.733242,0.59805,0.930903,0.999372,,2.24,4,0.01918
0.491151,0.19376,0.524957,0.453901,0.144257,0.144256,0.724355,0.567813,0.089531,,0.797329,0.573779,1.0,0.0,0.799616,0.575425,0.997514,0.999624,,2.24,5,0.189258
0.519361,0.199672,0.552998,0.474459,0.100428,0.100324,0.696934,0.576719,0.091523,,0.534506,0.490643,1.0,0.0,0.582428,0.534632,0.918126,0.999559,,2.24,6,0.263516
0.52069,0.192518,0.567578,0.478766,0.125128,0.122967,0.703301,0.5925,0.093496,,0.675838,0.54748,1.0,0.0,0.714967,0.579177,0.945831,0.999408,,2.24,7,0.033242
0.503899,0.194178,0.540238,0.465853,0.11173,0.111712,0.692832,0.580781,0.091172,,0.58376,0.490875,1.0,0.0,0.650597,0.547077,0.897694,0.999525,,2.24,8,0.07875
0.535433,0.211468,0.60256,0.490503,0.113103,0.112678,0.690391,0.600156,0.094687,,0.580938,0.511962,1.0,0.0,0.657142,0.579118,0.884644,0.999315,,2.24,9,0.070391
0.493328,0.194125,0.527408,0.455005,0.125629,0.123075,0.703926,0.569063,0.089746,,0.679089,0.527077,1.0,0.0,0.716408,0.556042,0.948271,0.999616,,2.24,10,0.001445
0.491674,0.208217,0.505257,0.455024,0.121989,0.121956,0.700215,0.570625,0.090371,,0.657422,0.50849,1.0,0.0,0.704881,0.545198,0.933038,0.999605,,2.24,11,0.074688
0.485658,0.196838,0.508821,0.45073,0.1467,0.145805,0.718125,0.564063,0.089219,,0.797533,0.563359,1.0,0.0,0.806652,0.5698,0.989044,0.999648,,2.24,12,0.021172
0.487376,0.177545,0.480387,0.451281,0.162869,0.161051,0.728477,0.563438,0.088359,,0.854348,0.56982,1.0,0.0,0.8548,0.570122,0.999819,0.999652,,2.24,13,0.070742
0.504953,0.194064,0.527322,0.467749,0.11769,0.115686,0.700059,0.580156,0.091328,,0.631581,0.513364,1.0,0.0,0.67772,0.550866,0.932358,0.999531,,2.24,14,0.115195
0.504481,0.175179,0.502935,0.467527,0.149772,0.135902,0.724902,0.582969,0.090938,,0.790699,0.569787,1.0,0.0,0.792698,0.571227,0.997972,0.999506,,2.24,15,0.134531
0.517136,0.189755,0.560094,0.475139,0.114135,0.11014,0.693945,0.588125,0.092871,,0.589356,0.5038,1.0,0.0,0.65271,0.557957,0.903429,0.999455,,2.24,16,0.062773
0.498466,0.199401,0.556021,0.457465,0.110612,0.107078,0.699961,0.566406,0.089688,,0.590557,0.507053,1.0,0.0,0.633924,0.544288,0.931932,0.999633,,2.24,17,0.160156
0.51714,0.195984,0.572122,0.476944,0.15573,0.153103,0.725625,0.593594,0.092129,,0.831436,0.609051,1.0,0.0,0.833183,0.610331,0.998506,0.999396,,2.24,18,0.0125
0.490369,0.18759,0.496246,0.450931,0.147336,0.130968,0.729453,0.561406,0.08832,,0.777681,0.558168,1.0,0.0,0.777961,0.558369,0.999977,0.999663,,2.24,19,0.217422
0.503158,0.19283,0.529954,0.465228,0.113849,0.113819,0.696328,0.581719,0.090762,,0.605919,0.500019,1.0,0.0,0.662358,0.546595,0.915232,0.999517,,2.245,0,0.149375
0.524624,0.18566,0.557441,0.479446,0.101321,0.10132,0.680957,0.590781,0.092891,,0.487338,0.447046,1.0,0.0,0.588419,0.539769,0.828692,0.999427,,2.245,1,0.094766
0.5077,0.200612,0.545419,0.466297,0.104591,0.101767,0.690703,0.573594,0.091387,,0.531515,0.473426,1.0,0.0,0.599918,0.534353,0.886349,0.999584,,2.245,2,0.142539
0.497759,0.185799,0.514557,0.459956,0.119419,0.110292,0.70623,0.57125,0.090176,,0.637738,0.516855,1.0,0.0,0.666784,0.540395,0.95682,0.999601,,2.245,3,0.195859
0.543972,0.201598,0.609909,0.495392,0.098275,0.085224,0.681953,0.600938,0.094941,,0.435657,0.450852,1.0,0.0,0.522123,0.540334,0.834976,0.999305,,2.245,4,0.189492
0.499675,0.190485,0.534795,0.461774,0.124642,0.12304,0.70002,0.577187,0.090742,,0.665284,0.522494,1.0,0.0,0.713998,0.560753,0.932188,0.999556,,2.245,5,0.056367
0.52879,0.198221,0.579988,0.483425,0.084058,0.082308,0.668438,0.589688,0.093555,,0.345135,0.376724,1.0,0.0,0.464325,0.506823,0.743721,0.999439,,2.245,6,0.111094
0.533338,0.196885,0.582382,0.489244,0.126854,0.125907,0.71502,0.600469,0.094121,,0.712969,0.580754,1.0,0.0,0.72608,0.591434,0.98262,0.999311,,2.245,7,0.180937
0.521211,0.194978,0.563342,0.478413,0.108323,0.096593,0.697422,0.587031,0.092324,,0.545836,0.499326,1.0,0.0,0.593341,0.542783,0.920428,0.999467,,2.245,8,0.163906
0.538274,0.208933,0.620811,0.4943,0.082006,0.082,0.662754,0.606563,0.096016,,0.319854,0.364298,1.0,0.0,0.455741,0.519066,0.702378,0.999224,,2.245,9,0.048125
0.502085,0.201304,0.55094,0.462694,0.109042,0.095407,0.69166,0.577187,0.091074,,0.526732,0.474189,1.0,0.0,0.591094,0.532131,0.891509,0.999556,,2.245,10,0.09957
0.500415,0.215646,0.556587,0.461362,0.113956,0.113831,0.693535,0.575313,0.090723,,0.597044,0.499259,1.0,0.0,0.662687,0.55415,0.901332,0.99957,,2.245,11,0.062539
0.492323,0.204417,0.525395,0.45674,0.141201,0.138006,0.714688,0.567969,0.090547,,0.767739,0.561966,1.0,0.0,0.782227,0.572571,0.981849,0.999623,,2.245,12,0.092813
0.487274,0.169687,0.462742,0.452178,0.14418,0.144174,0.718281,0.565312,0.088672,,0.790517,0.544891,1.0,0.0,0.799332,0.550967,0.989329,0.99964,,2.245,13,0.164258
0.507606,0.188308,0.514911,0.469613,0.069689,0.069683,0.677598,0.58,0.092363,,0.292652,0.358392,1.0,0.0,0.362848,0.444357,0.806919,0.999532,,2.245,14,0.274297
0.502421,0.173534,0.501183,0.466696,0.129744,0.11869,0.712793,0.582031,0.092324,,0.697676,0.537927,1.0,0.0,0.71435,0.550783,0.977134,0.999514,,2.245,15,0.147891
0.529527,0.199678,0.590684,0.484955,0.105845,0.102941,0.689102,0.596094,0.094453,,0.532644,0.489567,1.0,0.0,0.607387,0.558265,0.8775,0.999366,,2.245,16,0.075195
0.493609,0.194579,0.534164,0.454989,0.088743,0.08715,0.6825,0.565,0.089512,,0.417872,0.414732,1.0,0.0,0.498599,0.494853,0.838392,0.999642,,2.245,17,0.17457
0.519415,0.202941,0.582134,0.477965,0.142743,0.137282,0.717227,0.589375,0.092539,,0.773251,0.59392,1.0,0.0,0.783607,0.601874,0.987334,0.999442,,2.245,18,0.101289
0.495368,0.19026,0.526105,0.455576,0.178768,0.158478,0.741523,0.5675,0.088535,,0.859962,0.586488,1.0,0.0,0.869255,0.592825,0.989679,0.999626,,2.245,19,0.016914
0.50401,0.187267,0.538179,0.46575,0.091935,0.091299,0.677891,0.58375,0.091875,,0.423855,0.411023,1.0,0.0,0.524284,0.508412,0.808852,0.999498,,2.25,0,0.160586
