mean_H,std_H,opacity_up,opacity_down,opacity_temp_mi1,opacity_temp_decay,tcomp,gzip,gzip_byte,fractal_dim,score,score_geom,w_H,w_OP_s,w_OP_t,w_geom,w_T,w_G,w_dim,p,seed,mean_density
9.5e-05,0.000552,0.0,0.000126,0.0,0.0,0.994987,0.001177,0.000992,,0.0,0.0,0.006448,0.0,0.0,0.0,0.164555,0.011767,,0.25,2,4e-06
0.0,0.0,0.0,0.0,0.0,0.0,0.995,0.001025,0.000976,,0.0,0.0,0.0,0.0,0.0,0.0,0.164474,0.010254,,0.25,3,0.0
0.000294,0.001454,0.0,0.000385,1e-06,1e-06,0.994958,0.001521,0.001029,,0.0,0.0,0.02083,0.0,0.0,0.0,0.16474,0.015209,,0.25,4,1.4e-05
0.025269,0.026457,0.0,0.02692,0.001355,0.0,0.989423,0.031614,0.005367,,0.0,0.0,1.018488,0.0,0.0,0.0,0.20204,0.30601,,0.275,0,0.001623
0.022833,0.027717,0.0,0.02503,0.00037,0.0,0.989872,0.029604,0.005075,,0.0,0.0,0.93326,0.0,0.0,0.0,0.198809,0.287689,,0.275,1,0.001483
0.026439,0.027193,0.0,0.027778,0.000287,0.0,0.989238,0.03366,0.005673,,0.0,0.0,1.010165,0.0,0.0,0.0,0.203381,0.324436,,0.275,2,0.001678
0.014947,0.017216,0.0,0.015726,0.000391,0.0,0.991986,0.018364,0.003301,,0.0,0.0,1.145808,0.0,0.0,0.0,0.1841,0.181606,,0.275,3,0.000877
0.025921,0.028252,0.0,0.027717,0.000422,0.0,0.989208,0.032971,0.005621,,0.0,0.0,0.970024,0.0,0.0,0.0,0.203594,0.318262,,0.275,4,0.001676
0.742018,0.095263,0.357692,0.738588,0.000219,0.0,0.663808,0.773254,0.131689,,1e-06,0.0,1.0,2e-06,0.0,0.0,0.710141,0.978772,,0.3,0,0.238294
0.752034,0.080525,0.312727,0.748652,0.000124,0.0,0.65797,0.782681,0.133328,,8e-06,0.0,1.0,1.2e-05,0.0,0.0,0.666754,0.974424,,0.3,1,0.235325
0.739915,0.084443,0.334578,0.73571,0.000209,0.0,0.665385,0.771968,0.13164,,2e-06,0.0,1.0,3e-06,0.0,0.0,0.721677,0.979305,,0.3,2,0.234393
0.738459,0.095369,0.357442,0.734542,0.000117,0.0,0.664484,0.768494,0.131186,,1e-06,0.0,1.0,1e-06,0.0,0.0,0.715097,0.980681,,0.3,3,0.235434
0.739167,0.099046,0.362449,0.736328,0.000155,0.0,0.663994,0.770959,0.131332,,1e-06,0.0,1.0,2e-06,0.0,0.0,0.711507,0.979714,,0.3,4,0.234785
0.994448,0.00976,0.046551,0.993421,1.9e-05,0.0,0.50151,0.995015,0.159033,,0.009464,0.0,0.530927,0.579067,0.0,0.0,0.61798,0.049812,,0.325,0,0.469226
0.996126,0.005909,0.0,0.995046,1e-06,0.0,0.500413,0.997166,0.15919,,0.001913,0.0,0.334478,0.331057,0.0,0.0,0.609661,0.028337,,0.325,1,0.470473
0.99496,0.008694,0.037025,0.993769,2.3e-05,0.0,0.502676,0.995757,0.15909,,0.006614,0.0,0.473406,0.525618,0.0,0.0,0.626812,0.042406,,0.325,2,0.467911
0.994682,0.007894,0.026655,0.993331,0.0,0.0,0.500439,0.995156,0.159109,,0.006789,0.0,0.487528,0.471793,0.0,0.0,0.60986,0.0484,,0.325,3,0.467522
0.995886,0.00727,0.026646,0.994818,2e-06,0.0,0.500319,0.997024,0.159159,,0.003144,0.0,0.373152,0.465034,0.0,0.0,0.608946,0.029752,,0.325,4,0.471239
