mean_H,std_H,opacity_up,opacity_down,opacity_temp_mi1,opacity_temp_decay,tcomp,gzip,gzip_byte,fractal_dim,score,score_geom,w_H,w_OP_s,w_OP_t,w_geom,w_T,w_G,w_dim,beta,R0,seed,mapping,regime,final_I_density,final_S_density
0.93825,0.114068,0.578794,0.721058,0.978112,0.11443,0.992611,0.063606,0.108879,,0.017704,0.042089,0.995847,0.0,0.175774,0.417877,0.179901,0.562211,,0.035,2.8,4,susceptible,super-critical,0.001221,0.394043
0.20167,0.128303,0.0,0.204204,0.779168,0.627347,0.988383,0.139534,0.035012,,0.18098,0.0,1.0,0.0,0.976132,0.0,0.209654,0.884339,,0.04,3.2,0,infected,super-critical,0.001404,0.230469
0.871075,0.092895,0.726292,0.691436,0.970632,0.154217,0.991826,0.079009,0.10858,,0.031768,0.061898,0.999995,0.0,0.260528,0.507629,0.185185,0.658459,,0.04,3.2,0,susceptible,super-critical,0.001404,0.230469
0.207195,0.127826,0.0,0.209625,0.776943,0.627214,0.988147,0.146045,0.036324,,0.185454,0.0,1.0,0.0,0.977158,0.0,0.211408,0.89774,,0.04,3.2,1,infected,super-critical,0.00061,0.194397
0.856575,0.097162,0.723449,0.686906,0.969324,0.160331,0.991721,0.080977,0.109018,,0.03414,0.064048,0.999999,0.0,0.274328,0.514648,0.185896,0.669461,,0.04,3.2,1,susceptible,super-critical,0.00061,0.194397
0.203207,0.146458,0.0,0.211347,0.779643,0.62509,0.98812,0.141382,0.036076,,0.183443,0.0,1.0,0.0,0.975906,0.0,0.211608,0.888302,,0.04,3.2,2,infected,super-critical,0.0,0.201294
0.834275,0.101515,0.678158,0.683612,0.9683,0.16548,0.991721,0.081289,0.110766,,0.03558,0.06356,1.0,0.0,0.285168,0.509414,0.185896,0.671182,,0.04,3.2,2,susceptible,super-critical,0.0,0.201294
0.203751,0.160663,0.0,0.215477,0.778803,0.630002,0.987911,0.142307,0.036667,,0.185272,0.0,1.0,0.0,0.976303,0.0,0.213166,0.890238,,0.04,3.2,3,infected,super-critical,0.0,0.179993
0.798996,0.113114,0.610236,0.670494,0.966903,0.173198,0.991626,0.082107,0.11076,,0.037813,0.06264,1.0,0.0,0.300003,0.496975,0.186551,0.675651,,0.04,3.2,3,susceptible,super-critical,0.0,0.179993
0.194015,0.15109,0.0,0.204596,0.778898,0.627335,0.988345,0.13689,0.034779,,0.180033,0.0,1.0,0.0,0.976258,0.0,0.20993,0.87844,,0.04,3.2,4,infected,super-critical,0.0,0.229553
0.851683,0.091406,0.701948,0.689603,0.969777,0.158042,0.991831,0.078074,0.10966,,0.032589,0.061328,0.999999,0.0,0.269493,0.507145,0.185152,0.65313,,0.04,3.2,4,susceptible,super-critical,0.0,0.229553
0.217003,0.17166,0.0,0.22915,0.773092,0.633385,0.987306,0.15051,0.038738,,0.193107,0.0,1.0,0.0,0.978833,0.0,0.217735,0.906066,,0.045,3.6,0,infected,super-critical,0.0,0.107056
0.700456,0.170585,0.716276,0.579939,0.960697,0.203867,0.991339,0.087417,0.090632,,0.047943,0.070492,1.0,0.0,0.3615,0.531524,0.188521,0.703487,,0.045,3.6,0,susceptible,super-critical,0.0,0.107056
0.212053,0.179342,0.0,0.227163,0.775117,0.630281,0.98738,0.148274,0.038269,,0.191569,0.0,1.0,0.0,0.977968,0.0,0.217172,0.90198,,0.045,3.6,1,infected,super-critical,0.0,0.117615
0.69353,0.173177,0.718108,0.573855,0.960594,0.204954,0.991381,0.08606,0.083233,,0.047544,0.069577,1.0,0.0,0.36262,0.530657,0.188229,0.696564,,0.045,3.6,1,susceptible,super-critical,0.0,0.117615
0.204742,0.187645,0.0,0.224619,0.775671,0.62883,0.987506,0.144348,0.037775,,0.18908,0.0,1.0,0.0,0.977725,0.0,0.216221,0.894396,,0.045,3.6,2,infected,super-critical,0.0,0.112732
0.673331,0.180117,0.681515,0.568792,0.959157,0.210265,0.99147,0.083931,0.086338,,0.048322,0.067663,1.0,0.0,0.375755,0.526152,0.187617,0.685442,,0.045,3.6,2,susceptible,super-critical,0.0,0.112732
0.202312,0.200514,0.0,0.226946,0.777821,0.629737,0.987433,0.142437,0.037598,,0.188552,0.0,1.0,0.0,0.976759,0.0,0.216774,0.890506,,0.045,3.6,3,infected,super-critical,0.0,0.105103
0.646859,0.182624,0.639958,0.554438,0.958047,0.216581,0.991437,0.084612,0.084444,,0.049992,0.066731,1.0,0.0,0.386244,0.515571,0.187843,0.689036,,0.045,3.6,3,susceptible,super-critical,0.0,0.105103
0.210553,0.184387,0.0,0.22805,0.773651,0.63275,0.987329,0.14679,0.038511,,0.191437,0.0,1.0,0.0,0.978598,0.0,0.217559,0.899175,,0.045,3.6,4,infected,super-critical,0.0,0.105225
0.664036,0.188166,0.682444,0.559347,0.958603,0.213336,0.991372,0.085264,0.086378,,0.049675,0.068566,1.0,0.0,0.380994,0.525882,0.188292,0.692444,,0.045,3.6,4,susceptible,super-critical,0.0,0.105225
0.202361,0.220953,0.169336,0.221749,0.77312,0.631481,0.987105,0.142786,0.037613,,0.191277,0.064824,1.0,0.0,0.978822,0.331725,0.219266,0.891226,,0.05,4.0,0,infected,super-critical,0.0,0.063477
0.523659,0.236331,0.501519,0.444665,0.949774,0.256205,0.991299,0.085244,0.071006,,0.059918,0.061117,1.0,0.0,0.458405,0.46758,0.188793,0.692343,,0.05,4.0,0,susceptible,super-critical,0.0,0.063477
0.201699,0.220672,0.156161,0.222301,0.776877,0.624958,0.987198,0.142559,0.037625,,0.190239,0.062777,1.0,0.0,0.977188,0.322464,0.218556,0.890758,,0.05,4.0,1,infected,super-critical,0.0,0.067871
0.532651,0.232747,0.502778,0.44885,0.95125,0.250242,0.991353,0.085461,0.069216,,0.058303,0.060789,1.0,0.0,0.446207,0.465234,0.188418,0.693472,,0.05,4.0,1,susceptible,super-critical,0.0,0.067871
0.200029,0.212425,0.173002,0.215945,0.775189,0.628667,0.987363,0.140554,0.036919,,0.188399,0.063799,1.0,0.0,0.977936,0.331164,0.217304,0.886544,,0.05,4.0,2,infected,super-critical,0.0,0.066101
0.538813,0.233154,0.519144,0.456906,0.951022,0.247253,0.991459,0.083826,0.072639,,0.057542,0.060871,1.0,0.0,0.447624,0.473525,0.187694,0.684885,,0.05,4.0,2,susceptible,super-critical,0.0,0.066101
0.195179,0.228453,0.185195,0.212555,0.776555,0.62966,0.987261,0.136968,0.036073,,0.187265,0.064605,1.0,0.0,0.977333,0.337174,0.218079,0.878619,,0.05,4.0,3,infected,super-critical,0.0,0.064514
0.509383,0.227458,0.460008,0.443323,0.948335,0.262286,0.991394,0.082869,0.071059,,0.060126,0.058535,1.0,0.0,0.470129,0.457686,0.188141,0.67977,,0.05,4.0,3,susceptible,super-critical,0.0,0.064514
0.198785,0.221739,0.160567,0.220026,0.775604,0.6324,0.987187,0.140789,0.037175,,0.189633,0.062959,1.0,0.0,0.977755,0.324621,0.218644,0.887044,,0.05,4.0,4,infected,super-critical,0.0,0.063538
0.515799,0.237081,0.487255,0.444584,0.948807,0.260967,0.991348,0.084609,0.062755,,0.06056,0.060478,1.0,0.0,0.466376,0.465745,0.188458,0.689023,,0.05,4.0,4,susceptible,super-critical,0.0,0.063538
0.193197,0.237454,0.206085,0.207638,0.773559,0.628925,0.98717,0.136213,0.035905,,0.187742,0.066584,1.0,0.0,0.978636,0.34708,0.218774,0.876887,,0.055,4.4,0,infected,super-critical,0.0,0.044189
0.434908,0.257768,0.407905,0.371678,0.941876,0.291259,0.991381,0.082031,0.052576,,0.066153,0.054515,1.0,0.0,0.520486,0.428922,0.188227,0.67524,,0.055,4.4,0,susceptible,super-critical,0.0,0.044189
0.196658,0.235257,0.204808,0.20853,0.77835,0.626898,0.987219,0.137305,0.035888,,0.187545,0.066566,1.0,0.0,0.976514,0.346597,0.218397,0.879385,,0.055,4.4,1,infected,super-critical,0.0,0.03717
0.415075,0.266014,0.397535,0.353993,0.940988,0.296727,0.991418,0.082483,0.049849,,0.067156,0.053526,1.0,0.0,0.527188,0.420189,0.187971,0.67769,,0.055,4.4,1,susceptible,super-critical,0.0,0.03717
0.191017,0.230212,0.184959,0.20499,0.777663,0.628534,0.987475,0.133804,0.03474,,0.184208,0.062782,1.0,0.0,0.976831,0.332923,0.216457,0.8712,,0.055,4.4,2,infected,super-critical,0.0,0.043945
0.440007,0.256249,0.41576,0.375483,0.94307,0.281285,0.991579,0.080088,0.050749,,0.063475,0.053462,1.0,0.0,0.511148,0.43052,0.18687,0.664528,,0.055,4.4,2,susceptible,super-critical,0.0,0.043945
0.185031,0.245668,0.195828,0.198713,0.777599,0.625502,0.987403,0.129524,0.034363,,0.182404,0.062734,1.0,0.0,0.97686,0.335969,0.216998,0.860492,,0.055,4.4,3,infected,super-critical,0.0,0.041443
0.402043,0.249732,0.356599,0.349804,0.937589,0.309517,0.991534,0.079006,0.050138,,0.067997,0.050507,1.0,0.0,0.551715,0.4098,0.187179,0.658445,,0.055,4.4,3,susceptible,super-critical,0.0,0.041443
0.192621,0.237148,0.198752,0.206915,0.777892,0.62791,0.987261,0.136213,0.035438,,0.18678,0.065445,1.0,0.0,0.976726,0.342231,0.218079,0.876887,,0.055,4.4,4,infected,super-critical,0.0,0.042786
0.424909,0.256635,0.398653,0.361723,0.9409,0.296101,0.991432,0.081626,0.050022,,0.066738,0.053587,1.0,0.0,0.527781,0.42378,0.187881,0.673029,,0.055,4.4,4,susceptible,super-critical,0.0,0.042786
0.185019,0.253174,0.197765,0.199157,0.776509,0.62372,0.987296,0.129128,0.034124,,0.182964,0.063163,1.0,0.0,0.977353,0.337401,0.217814,0.859462,,0.06,4.8,0,infected,super-critical,0.0,0.028992
0.346845,0.269675,0.327672,0.296075,0.93194,0.335754,0.991494,0.079822,0.045529,,0.07339,0.047912,1.0,0.0,0.590478,0.385486,0.187454,0.663039,,0.06,4.8,0,susceptible,super-critical,0.0,0.028992
0.179252,0.2564,0.190203,0.192562,0.778247,0.62244,0.987494,0.125154,0.032991,,0.179285,0.060429,1.0,0.0,0.976561,0.329153,0.216314,0.848714,,0.06,4.8,1,infected,super-critical,0.0,0.027893
0.32727,0.2614,0.30257,0.285005,0.930688,0.338692,0.99163,0.076943,0.04451,,0.072194,0.044905,1.0,0.0,0.59861,0.372333,0.186519,0.6466,,0.06,4.8,1,susceptible,super-critical,0.0,0.027893
0.175935,0.251832,0.178441,0.191549,0.780188,0.620813,0.987688,0.123035,0.032339,,0.176636,0.058182,1.0,0.0,0.975645,0.321365,0.214845,0.84268,,0.06,4.8,2,infected,super-critical,0.0,0.030029
0.337966,0.256079,0.310659,0.29428,0.930937,0.332124,0.991753,0.074836,0.04493,,0.07028,0.044662,1.0,0.0,0.59683,0.379279,0.185684,0.634172,,0.06,4.8,2,susceptible,super-critical,0.0,0.030029
0.174768,0.254344,0.181929,0.18723,0.780826,0.622909,0.987643,0.122036,0.031936,,0.176246,0.058011,1.0,0.0,0.975336,0.321029,0.215184,0.839761,,0.06,4.8,3,infected,super-critical,0.0,0.031433
0.340271,0.248457,0.297836,0.297419,0.930263,0.335609,0.991716,0.073528,0.043961,,0.070011,0.043811,1.0,0.0,0.601229,0.376232,0.185932,0.626284,,0.06,4.8,3,susceptible,super-critical,0.0,0.031433
0.177032,0.256943,0.18641,0.190857,0.779024,0.627365,0.98741,0.124434,0.03257,,0.179317,0.059862,1.0,0.0,0.976199,0.325889,0.21695,0.846688,,0.06,4.8,4,infected,super-critical,0.0,0.030334
