rank,rule,class,C_a_bp,C_a_x8,C_a,C_v8,gz_byte,gz_bp,gz_x8,wG_a_bp,wG_a_x8,mean_H,std_H,op_up,op_down,mi1,decay,tc_mean
244,225,4,0.0,0.0,0.051253,0.022571,0.1576,1.008176,1.2608,0.0,0.0,0.994885,0.006754,0.3234,0.99466,1e-06,0.0,0.4976
245,234,2,0.0,0.0,0.0,0.0,0.002,0.013509,0.016,0.134271,0.158649,0.0,0.0,0.0,0.0,0.0,0.0,0.993333
246,235,2,0.0,0.0,0.0,0.0,0.002,0.013509,0.016,0.134271,0.158649,0.0,0.0,0.0,0.0,0.0,0.0,0.993333
247,238,2,0.0,0.0,0.0,0.0,0.002,0.013509,0.016,0.134271,0.158649,0.0,0.0,0.0,0.0,0.0,0.0,0.993333
248,239,1,0.0,0.0,0.0,0.0,0.002,0.013509,0.016,0.134271,0.158649,0.0,0.0,0.0,0.0,0.0,0.0,0.993333
249,248,1,0.0,0.0,0.0,0.0,0.002,0.013509,0.016,0.134271,0.158649,0.0,0.0,0.0,0.0,0.0,0.0,0.993333
250,249,1,0.0,0.0,0.0,0.0,0.002,0.013509,0.016,0.134271,0.158649,0.0,0.0,0.0,0.0,0.0,0.0,0.993333
251,250,1,0.0,0.0,0.0,0.0,0.002,0.013509,0.016,0.134271,0.158649,0.0,0.0,0.0,0.0,0.0,0.0,0.993333
252,251,1,0.0,0.0,0.0,0.0,0.002,0.013509,0.016,0.134271,0.158649,0.0,0.0,0.0,0.0,0.0,0.0,0.993333
253,252,1,0.0,0.0,0.0,0.0,0.002,0.013509,0.016,0.134271,0.158649,0.0,0.0,0.0,0.0,0.0,0.0,0.993333
254,253,1,0.0,0.0,0.0,0.0,0.002,0.013509,0.016,0.134271,0.158649,0.0,0.0,0.0,0.0,0.0,0.0,0.993333
255,254,1,0.0,0.0,0.0,0.0,0.002,0.013509,0.016,0.134271,0.158649,0.0,0.0,0.0,0.0,0.0,0.0,0.993333
256,255,1,0.0,0.0,0.0,0.0,0.002,0.013509,0.016,0.134271,0.158649,0.0,0.0,0.0,0.0,0.0,0.0,0.993333
