experiment,name,class,seed,pool_factor,C_a,mi1,tc_mean,gzip_ratio,op_up,op_down,mean_H
GoL,GoL B36/S23,4,0,4,2.871835,0.351796,0.861992,0.292422,0.064589,0.725085,0.732489
GoL,GoL B36/S23,4,0,8,2.854055,0.171061,0.870078,0.643828,0.318587,0.777869,0.780927
GoL,GoL B36/S23,4,1,1,3.265488,0.209107,0.870112,0.106156,0.377671,0.542471,0.571463
GoL,GoL B36/S23,4,1,2,3.095113,0.379365,0.881978,0.160122,0.126728,0.659904,0.687686
GoL,GoL B36/S23,4,1,4,2.987576,0.307847,0.877031,0.289746,0.115267,0.728058,0.741258
GoL,GoL B36/S23,4,1,8,2.19614,0.052198,0.878672,0.639453,0.310352,0.77366,0.775444
GoL,GoL B36/S23,4,2,1,2.788089,0.217692,0.897026,0.089834,0.347524,0.456015,0.484359
GoL,GoL B36/S23,4,2,2,2.819659,0.40819,0.908984,0.145762,0.183591,0.597381,0.645836
GoL,GoL B36/S23,4,2,4,2.760448,0.42925,0.904434,0.286875,0.139431,0.722961,0.742149
GoL,GoL B36/S23,4,2,8,2.383894,0.199684,0.902187,0.636094,0.324456,0.778555,0.781301
GoL,GoL B1/S1,2,0,1,1.790651,0.009872,0.615654,0.146627,0.095304,0.762362,0.772869
GoL,GoL B1/S1,2,0,2,3.139818,0.039146,0.776431,0.131201,0.244444,0.471925,0.472944
GoL,GoL B1/S1,2,0,4,2.739668,0.073192,0.596816,0.29209,0.073372,0.722372,0.719624
GoL,GoL B1/S1,2,0,8,3.095126,0.088818,0.55875,0.634687,0.274415,0.761713,0.760216
GoL,GoL B1/S1,2,1,1,1.503529,0.007032,0.615107,0.146583,0.056164,0.762708,0.773501
GoL,GoL B1/S1,2,1,2,3.039342,0.040726,0.789351,0.128569,0.220249,0.455501,0.456466
GoL,GoL B1/S1,2,1,4,2.838999,0.087686,0.581543,0.29459,0.087587,0.738054,0.736344
GoL,GoL B1/S1,2,1,8,2.747459,0.052784,0.55875,0.635938,0.263905,0.761935,0.760597
GoL,GoL B1/S1,2,2,1,1.615344,0.003742,0.615842,0.146879,0.072873,0.763659,0.773952
GoL,GoL B1/S1,2,2,2,3.053078,0.036853,0.785625,0.128872,0.23072,0.459271,0.460341
GoL,GoL B1/S1,2,2,4,3.077331,0.092733,0.590254,0.292891,0.114172,0.729118,0.727548
GoL,GoL B1/S1,2,2,8,3.307214,0.110903,0.552188,0.642031,0.301897,0.76723,0.765822
GoL,GoL B3/S12345,3,0,1,0.001179,0.976406,0.993356,0.177085,0.0,0.979397,0.991388
GoL,GoL B3/S12345,3,0,2,0.027363,0.0,0.994272,0.063013,0.0,0.135667,0.13556
GoL,GoL B3/S12345,3,0,4,0.108382,0.000502,0.992285,0.207969,0.024714,0.388778,0.398212
GoL,GoL B3/S12345,3,0,8,0.154065,0.0,0.988672,0.548516,0.015083,0.526048,0.547505
GoL,GoL B3/S12345,3,1,1,0.001545,0.972527,0.991372,0.176212,0.0,0.976886,0.992407
GoL,GoL B3/S12345,3,1,2,0.008645,0.000114,0.993174,0.040454,0.0,0.060112,0.058945
GoL,GoL B3/S12345,3,1,4,0.123992,0.000227,0.991445,0.19668,0.025689,0.370157,0.371243
GoL,GoL B3/S12345,3,1,8,0.661582,0.877639,0.957813,0.563438,0.054633,0.748348,0.807224
GoL,GoL B3/S12345,3,2,1,0.00078,0.985758,0.993212,0.178,0.0,0.983262,0.992771
GoL,GoL B3/S12345,3,2,2,0.024774,0.0,0.994165,0.06021,0.0,0.119299,0.119088
GoL,GoL B3/S12345,3,2,4,0.142647,0.000227,0.990957,0.307441,0.035745,0.797068,0.798801
GoL,GoL B3/S12345,3,2,8,0.114415,0.000803,0.990859,0.656328,0.026814,0.759968,0.785243
GoL,GoL B2/S,1,0,1,1.618817,0.109286,0.575504,0.143429,0.0,0.740826,0.742265
GoL,GoL B2/S,1,0,2,2.99483,0.033384,0.609316,0.177124,0.125774,0.732179,0.732249
GoL,GoL B2/S,1,0,4,3.075676,0.032334,0.663809,0.282305,0.187323,0.674346,0.667177
GoL,GoL B2/S,1,0,8,2.575891,5.6e-05,0.635391,0.631563,0.225305,0.744486,0.742252
GoL,GoL B2/S,1,1,1,1.551038,0.103343,0.577356,0.143019,0.0,0.739082,0.740614
GoL,GoL B2/S,1,1,2,2.461243,0.027687,0.601206,0.180444,0.082127,0.749314,0.749574
GoL,GoL B2/S,1,1,4,3.228712,0.048249,0.672012,0.278262,0.194787,0.659613,0.652909
GoL,GoL B2/S,1,1,8,2.567367,0.00777,0.628828,0.630234,0.26079,0.753081,0.751072
GoL,GoL B2/S,1,2,1,1.624849,0.11365,0.575413,0.14353,0.0,0.740949,0.742355
GoL,GoL B2/S,1,2,2,2.860764,0.015673,0.611187,0.1773,0.116086,0.72988,0.730005
GoL,GoL B2/S,1,2,4,3.098713,0.028084,0.665801,0.281055,0.206062,0.670583,0.663279
GoL,GoL B2/S,1,2,8,2.689635,0.021521,0.638437,0.631563,0.268752,0.744158,0.742188
