rule,class,auc,ca_x1,ca_peak
195,3,14.563113,3.412114,4.141772
196,2,0.108923,0.046891,0.06069
197,2,0.00789,0.005854,0.005854
198,2,3.910941,0.006798,2.35319
199,2,4.989517,0.014669,3.292372
200,2,0.114228,0.023408,0.03908
201,2,0.644327,0.52066,0.52066
202,2,0.489899,0.289105,0.289105
203,2,0.121259,0.076323,0.076323
204,2,0.087169,1e-06,0.032337
205,2,0.098223,0.009209,0.048525
206,2,0.096889,0.042573,0.053788
207,2,0.089238,0.041786,0.047228
208,2,7.125827,0.488483,2.720922
209,2,5.474912,0.50952,3.695539
210,2,6.819498,0.026967,3.332905
211,2,8.043906,1.123069,4.067414
212,0,6.197831,0.001161,2.785313
213,2,6.69001,0.006822,2.769512
214,2,3.366585,0.867723,1.965363
215,0,5.273558,2.321398,2.951942
216,2,0.450966,0.280015,0.280015
217,2,0.122357,0.074056,0.074056
218,0,0.128758,0.127503,0.127503
219,2,0.082822,0.082166,0.082166
220,2,0.124673,0.042629,0.052245
221,2,0.111808,0.041843,0.046149
222,2,0.094582,0.050124,0.050124
223,2,0.054475,0.054118,0.054118
224,1,0.159509,0.039501,0.045673
225,4,10.596699,0.039326,4.481916
226,2,5.359468,0.000329,2.421025
227,2,5.861817,0.603997,2.067099
228,2,0.847279,0.170748,0.357063
229,2,5.379985,0.695467,4.030236
230,2,3.342108,1.949122,1.949122
231,0,3.316625,1.72899,1.72899
232,2,0.044357,0.000784,0.043178
233,2,0.208916,0.198669,0.198669
234,2,0.075075,0.068657,0.068657
235,2,0.013053,0.010798,0.010798
236,2,0.023457,0.023116,0.023116
237,2,0.058312,0.055654,0.055654
238,2,0.0047,0.001014,0.003469
239,1,0.000585,0.000289,0.000289
240,2,7.562059,1.6e-05,4.052143
241,2,6.631133,0.191473,3.378381
242,2,4.258076,1.228861,1.711946
243,2,5.756542,1.884473,2.235354
244,2,6.181177,0.600962,4.359143
245,0,7.969903,1.089698,3.666
246,2,3.517486,1.526126,1.991142
247,0,4.414544,1.344426,3.069901
248,1,0.082815,0.077747,0.077747
249,1,0.013923,0.010082,0.010082
250,1,0.005866,0.0037,0.0037
251,1,0.004044,0.000853,0.002973
252,1,0.004001,0.001014,0.00277
253,1,0.003589,0.000288,0.003083
254,1,0.000572,0.000275,0.000275
255,1,0.000378,8.1e-05,0.000114
