model,q,L,T,seed,C_a,mean_H,std_H,op_up,op_down,mi1,decay,tc_mean,gzip_ratio
Potts q=3,3,64,0.9,4,0.5787965057685319,0.9357256605837999,0.01187878271099721,0.08072083515848456,0.6016568802068533,0.7018178561682488,0.2748679994327411,0.94187255859375,0.0840478515625
Potts q=3,3,64,0.9,5,0.9522677097823745,0.7866030439864011,0.013473665538843823,0.06478346409741254,0.5256402743835354,0.6107463214946115,0.22857030737296147,0.9387475585937499,0.07776123046875
Potts q=3,3,64,0.95,0,1.381785534108093,0.5678214262409385,0.023132282580012088,0.1664416346312064,0.456667887803105,0.4522393992927064,0.2727941266273417,0.9284594726562501,0.08237060546875
Potts q=3,3,64,0.95,1,1.2903671958614453,0.5762489664007185,0.022458824676703015,0.1562155026253882,0.4498152217441693,0.5008330859548068,0.3253791617488649,0.9322607421875,0.0797705078125
Potts q=3,3,64,0.95,2,0.5970068505024374,0.9636301078211039,0.011622823600031593,0.25315776893617253,0.7067054886489595,0.6141256470380835,0.352822210290792,0.9184375,0.1096533203125
Potts q=3,3,64,0.95,3,1.817815314655529,0.8139519516073854,0.034496197748322306,0.32796933829885583,0.6150434328738996,0.5583424430721791,0.2835045594028293,0.915810546875,0.1025
Potts q=3,3,64,0.95,4,1.2349761070730085,0.6818848462132862,0.04090101729474436,0.0,0.5410948358609976,0.46933899337444956,0.33297203762755156,0.91802490234375,0.0952978515625
Potts q=3,3,64,0.95,5,1.3494834775970093,0.8140222344071488,0.024443424573273514,0.3315140432711749,0.5646465587512849,0.6423976729157164,0.25849864760562485,0.9316577148437499,0.0863134765625
Potts q=3,3,64,1.0,0,1.3721431557278394,0.7541672710647603,0.01863409169926681,0.0,0.6260916146897401,0.46030093508817205,0.34636255941635496,0.8962573242187499,0.11204345703125
Potts q=3,3,64,1.0,1,1.1766393996748175,0.9414068489047115,0.01879442825341696,0.2749984665645835,0.7442681733310484,0.520009552891465,0.3015733213172769,0.8900878906249999,0.1232470703125
Potts q=3,3,64,1.0,2,0.9700358126093054,0.9517162072044727,0.008670124956867893,0.3192201035182416,0.7578161292394249,0.5383182922703389,0.3406112525907727,0.88718505859375,0.12624755859375
Potts q=3,3,64,1.0,3,1.3235543724079206,0.6942094295364654,0.02222406354388936,0.0,0.5796924495927978,0.41261483719786185,0.2834795072414156,0.90278076171875,0.106083984375
Potts q=3,3,64,1.0,4,1.321344914964854,0.7162079191768785,0.018170651969374813,0.0,0.595314348694777,0.42896124544989117,0.2752603193642811,0.90016845703125,0.10774169921875
Potts q=3,3,64,1.0,5,0.16886944529722414,0.9903997814170471,0.006251362142496051,0.047054132313770904,0.7999572899522632,0.5216193304911035,0.3347903635498744,0.8854223632812499,0.1324951171875
Potts q=3,3,64,1.05,0,1.7515770932520223,0.9207280895689798,0.02867870922394786,0.16626997682902825,0.7919030405284118,0.4812925825419838,0.35371796654212695,0.8598046874999999,0.139111328125
Potts q=3,3,64,1.05,1,1.318956597986019,0.8933692760754879,0.017918973867622257,0.0,0.7668604139961488,0.41714647287237727,0.3297066348885248,0.86484130859375,0.13498046875
Potts q=3,3,64,1.05,2,1.1163659696386812,0.9180200493554233,0.014780859590154748,0.0,0.7826569649825424,0.3528591591294482,0.2965704358002911,0.86307861328125,0.13720947265625
Potts q=3,3,64,1.05,3,1.397258118677637,0.8780098094323678,0.01651906912934704,0.0,0.7555841865118146,0.38670617591694406,0.31896224879767354,0.86464599609375,0.13495849609375
Potts q=3,3,64,1.05,4,2.4345701632176717,0.8219667514625969,0.031504066452682666,0.30760327670138804,0.7048674054728666,0.37219117305443383,0.3112587054937283,0.8735498046875,0.12686767578125
Potts q=3,3,64,1.05,5,1.3951472972927517,0.8784625788760106,0.016671831634256475,0.0,0.7557673076811149,0.3600483666366794,0.3118704729250571,0.86448486328125,0.13474609375
