mean_H,std_H,opacity_up,opacity_down,opacity_temp_mi1,opacity_temp_decay,tcomp,gzip,score,w_H,w_OP_s,w_OP_t,w_T,w_G,rule,class,rank
0.957381,0.0,0.0,0.897418,1.0,0.0,0.993333,0.006667,0.000131,1.287829,0.130858,0.0,0.004438,0.175131,205,C2,86
0.865247,0.073657,0.241796,0.819332,0.033556,0.0,0.403956,0.008124,0.000104,0.999997,0.006356,0.0,0.088813,0.184848,95,C2,87
0.945946,0.0,0.0,0.879723,1.0,0.0,0.993333,0.006693,7.5e-05,1.312805,0.073536,0.0,0.004438,0.175305,76,C2,88
0.996559,0.0,0.0,0.9913,1.0,0.0,0.993333,0.006853,6.1e-05,0.225677,0.342755,0.0,0.004438,0.176354,204,C2,89
0.97905,0.010108,0.058713,0.791005,0.502989,0.0,0.889156,0.013387,5.6e-05,1.540152,0.001185,0.0,0.138215,0.223047,94,C2,90
0.820475,0.0,0.0,0.775672,0.00177,0.001405,0.61984,0.013253,5.1e-05,1.324652,0.000197,0.000249,0.883378,0.222018,80,C2,91
0.953669,0.013061,0.269623,0.832211,0.153,0.003704,0.328987,0.028818,5.1e-05,1.952889,0.009684,0.033707,0.007281,0.362989,131,C2,92
0.820475,0.0,0.0,0.775672,0.001785,0.001421,0.61984,0.013013,5.1e-05,1.324652,0.000197,0.000254,0.883378,0.220174,175,C2,93
0.989754,3.1e-05,0.319665,0.837415,0.046177,0.03243,0.373476,0.028098,5e-05,0.625767,0.005918,0.135238,0.035714,0.355587,81,C2,94
0.985536,0.0,0.313413,0.831137,0.048926,0.043868,0.370844,0.027884,4.9e-05,0.819821,0.0047,0.187144,0.032789,0.353408,11,C2,95
0.820475,0.0,0.0,0.774278,0.003414,0.001185,0.622489,0.01328,4.5e-05,1.324652,0.000177,0.000404,0.868455,0.222223,245,C2,96
0.820475,0.0,0.0,0.774278,0.003514,0.001232,0.622489,0.013004,4.5e-05,1.324652,0.000177,0.000433,0.868455,0.220106,10,C2,97
0.990955,8e-05,0.319665,0.837479,0.046331,0.02298,0.373458,0.028027,4.4e-05,0.563377,0.005938,0.097739,0.035693,0.35486,47,C2,98
0.989299,9e-05,0.31522,0.833375,0.048893,0.025508,0.370729,0.028711,4.2e-05,0.650767,0.005152,0.113199,0.032665,0.361888,117,C2,99
0.825146,0.045085,0.296372,0.76149,0.166033,0.099087,0.474684,0.123778,2.4e-05,1.000193,4.9e-05,0.704892,0.420415,0.893082,18,C2,100
