experiment,threshold,regime,peak_C_A,peak_t_A,peak_C_B,peak_t_B,final_C_A,mean_C_A,mean_C_B,var_C_A,var_C_B,lag1_ac_C_A,lag1_ac_C_B,mapping_agree
heterogeneous_thresholds,0.36,transition,0.8163079013071155,2,0.8103544906532697,2,0.03291611238576641,0.31438350205036936,0.308600702394757,0.08002167387711556,0.08024113623082399,0.9943671445436163,0.9940600685423423,True
heterogeneous_thresholds,0.37,transition,0.8183934104235753,2,0.8127719867396891,2,0.04111185255053294,0.30960874214666584,0.31196371125688,0.08468086595536202,0.07966668259496125,0.9916381602424514,0.9940224501282227,True
heterogeneous_thresholds,0.38,transition,0.8037777092838099,2,0.8081329414801509,2,0.02938493569687453,0.3283079212603633,0.33932647309264813,0.08755058580512876,0.0810862990554555,0.9910765030772638,0.993199550368717,True
heterogeneous_thresholds,0.39,transition,0.8038457846141791,3,0.8103180972600464,3,0.02198109835666315,0.34609891917316343,0.36039076055683517,0.08839021501952321,0.09109680871188,0.9916050716770415,0.9916989184445465,True
heterogeneous_thresholds,0.4,transition,0.8079024424386019,3,0.8128199156554995,3,0.030333725138215528,0.3698228576183993,0.3831736233408866,0.0779577632362999,0.08156740583733116,0.9934914043178815,0.9903760982166465,True
heterogeneous_thresholds,0.41,transition,0.8175705914762113,3,0.8300594167625588,3,0.01807480061966178,0.37847909398518775,0.3870001617985977,0.0868708062100016,0.09514899887333092,0.9873260939573585,0.9894159453816058,True
heterogeneous_thresholds,0.42,transition,0.8258235332870403,3,0.8285916565307538,3,0.018409605711048972,0.37551562477547484,0.38594223912379066,0.09975167929888515,0.10683924603489303,0.9826196549082721,0.9814852331967613,True
heterogeneous_thresholds,0.43,transition,0.8298510454439517,3,0.8265487219133811,3,0.06067528558565301,0.4500926641534166,0.43917250706163474,0.08640223209324494,0.09304853176007828,0.9824704758870827,0.9841625458393308,True
heterogeneous_thresholds,0.44,transition,0.8241697648044817,3,0.8108686220303227,3,0.06089431032995561,0.456139439737136,0.4606773411507422,0.08739613482722433,0.07934562109201396,0.980017376841978,0.9798502052552207,True
heterogeneous_thresholds,0.45,transition,0.8315062020632606,4,0.8164041796664787,4,0.05476311366509988,0.4808953908157958,0.4722720664720806,0.09039597749999356,0.08357025292023004,0.9760019164498352,0.9793082852204589,True
heterogeneous_thresholds,0.46,transition,0.8356740393855308,5,0.8330156527468482,5,0.06754737863281553,0.5398995404891171,0.5301391752513309,0.07324618302868269,0.07571972395615302,0.9753979498768107,0.972921268942826,True
heterogeneous_thresholds,0.47,transition,0.8584289280132398,6,0.834459752245533,5,0.10314495754058198,0.5591001738043613,0.5329853979000768,0.07529608769765221,0.07171183551142155,0.9655330183116951,0.9661762586252959,True
heterogeneous_thresholds,0.48,transition,0.8583802716090767,7,0.8623136434246934,6,0.13459129380881554,0.5879501393678501,0.5964420246101289,0.06428750596611753,0.060480079145759424,0.9557922379037667,0.954489544220058,True
heterogeneous_thresholds,0.49,transition,0.8742593485232458,7,0.8889774954666851,7,0.115636005659387,0.6048403563734768,0.6166028408125622,0.06366532605321246,0.06178938591870865,0.9582966489860779,0.9548452574935078,True
heterogeneous_thresholds,0.5,transition,0.8926152424832237,6,0.8960104957013865,7,0.27671844777688703,0.6767933468234993,0.6932467909110582,0.040671806572125914,0.03659793061670168,0.9502312609418787,0.9434857602929551,True
heterogeneous_thresholds,0.51,segregated,0.8972908465701892,7,0.911460627769095,7,0.31387820257673854,0.6991413020095414,0.7045457018568598,0.03529780246226971,0.033296338674310214,0.947238142311147,0.9446073038377245,True
heterogeneous_thresholds,0.52,segregated,0.923051704458277,8,0.9186716731922917,8,0.39515286580882136,0.7246808299306282,0.7119783462345551,0.029485339512482386,0.03293526719549452,0.9326380237881291,0.9371447680468167,True
heterogeneous_thresholds,0.53,segregated,0.9337883765416388,8,0.9415968206806493,8,0.46998094890584696,0.7644616724564994,0.7762851118189416,0.021064322210108354,0.018922205959457514,0.8798036264705219,0.8715205892840274,True
heterogeneous_thresholds,0.54,segregated,0.9522078385757016,8,0.9582571427564174,9,0.5203838229347715,0.7832358362644442,0.7922924078081455,0.02037571627853932,0.018708896267660653,0.8500266524909382,0.8471645937055953,True
heterogeneous_thresholds,0.55,segregated,0.9705027774755906,9,0.9730933265608442,9,0.6291270570243851,0.816063144557072,0.8170971270107856,0.01649355524311165,0.015924816108995377,0.8371181056502345,0.8444616535146533,True
heterogeneous_thresholds,0.56,segregated,0.9864564527200155,9,0.9975374769474037,9,0.6344302636325538,0.8303754714946862,0.8347418298186683,0.016704822629015893,0.017236260539204566,0.8471518653558109,0.8619089696509636,True
heterogeneous_thresholds,0.57,segregated,1.0023164914534761,10,1.0133330250738062,10,0.7567950162734581,0.8559250321338985,0.862825128480005,0.01741618828107202,0.01716424255755698,0.8661906012548231,0.8803313811896603,True
heterogeneous_thresholds,0.58,segregated,1.0306879957680728,11,1.0301433204721868,10,0.8285944501719728,0.8723182178932722,0.8631766220511624,0.020755179950197555,0.020474774140830255,0.8949075745122738,0.8774685594485089,True
heterogeneous_thresholds,0.59,segregated,1.0495995408094334,12,1.034716621016446,12,0.935483366313421,0.8812329458066032,0.8805890919506849,0.026702772353007533,0.02524190655958839,0.9349986568638337,0.9284126304837669,True
heterogeneous_thresholds,0.6,segregated,1.0457940065289366,12,1.059463281129594,12,0.9469312162724881,0.8738350916559375,0.8796108720688637,0.027736326383567645,0.030822051270109257,0.9396024644813635,0.9343050937112735,True
heterogeneous_thresholds,0.61,segregated,1.0641185458564206,13,1.0546865746107543,13,1.009075299514226,0.8690397905908613,0.8636408166095658,0.03562525723333129,0.033783013417672154,0.935025138545939,0.9319554392779881,True
heterogeneous_thresholds,0.62,segregated,1.0890538475372487,15,1.0860446579616476,15,1.0635358987498749,0.8427642664141138,0.8352236701184409,0.04333598971097202,0.0463610787813063,0.9473713551806489,0.9467152594840457,True
