threshold,time_step,regime,C_A,C_B,w_H,w_OPs,w_OPt,w_T,w_G
0.02,5,mixed,0.1428784080815673,0.14424765225460862,1.1878706856020445,0.3752909649265262,0.0,0.6819407511903469,0.46998363248058095
0.02,6,mixed,0.1428784080815673,0.14424765225460862,1.1878706856020445,0.3752909649265262,0.0,0.6819407511903469,0.46998363248058095
0.02,7,mixed,0.1428784080815673,0.14424765225460862,1.1878706856020445,0.3752909649265262,0.0,0.6819407511903469,0.46998363248058095
0.02,8,mixed,0.1428784080815673,0.14424765225460862,1.1878706856020445,0.3752909649265262,0.0,0.6819407511903469,0.46998363248058095
0.02,9,mixed,0.1428784080815673,0.14424765225460862,1.1878706856020445,0.3752909649265262,0.0,0.6819407511903469,0.46998363248058095
0.02,10,mixed,0.1428784080815673,0.14424765225460862,1.1878706856020445,0.3752909649265262,0.0,0.6819407511903469,0.46998363248058095
0.02,11,mixed,0.1428784080815673,0.14424765225460862,1.1878706856020445,0.3752909649265262,0.0,0.6819407511903469,0.46998363248058095
0.02,12,mixed,0.1428784080815673,0.14424765225460862,1.1878706856020445,0.3752909649265262,0.0,0.6819407511903469,0.46998363248058095
0.02,13,mixed,0.1428784080815673,0.14424765225460862,1.1878706856020445,0.3752909649265262,0.0,0.6819407511903469,0.46998363248058095
0.02,14,mixed,0.1428784080815673,0.14424765225460862,1.1878706856020445,0.3752909649265262,0.0,0.6819407511903469,0.46998363248058095
0.02,15,mixed,0.1428784080815673,0.14424765225460862,1.1878706856020445,0.3752909649265262,0.0,0.6819407511903469,0.46998363248058095
