alpha,alpha_s,mean_H,std_H,opacity_up,opacity_down,opacity_temp_mi1,opacity_temp_decay,tcomp,gzip,score,w_H,w_OP_s,w_OP_t,w_T,w_G
0.2838,0.4113,0.680477,0.011958,0.0,0.680468,0.727709,0.588722,0.938464,0.074193,0.0,1.975558,0.0,0.988168,0.034541,0.860481
0.2838,0.4816,0.686728,0.008408,0.0,0.686344,0.705516,0.601417,0.93599,0.076719,0.0,1.902243,0.0,0.989245,0.037427,0.878489
0.2838,0.564,0.696381,0.009957,0.0,0.695862,0.67348,0.571096,0.928333,0.085208,0.0,1.960738,0.0,0.992619,0.048825,0.922139
0.2838,0.6604,0.703573,0.007906,0.0,0.703213,0.585138,0.530259,0.914896,0.098932,0.0,1.876658,0.0,0.997434,0.074814,0.966244
0.2838,0.7733,0.712033,0.00653,0.0,0.711808,0.498088,0.484582,0.895833,0.112135,0.0,1.790627,1e-06,0.999238,0.123667,0.955732
0.2838,0.9055,0.716767,0.004776,0.0,0.715775,0.390106,0.38815,0.868776,0.123099,0.0,1.664953,1e-06,0.996235,0.235207,0.890275
0.2838,1.0602,0.719566,0.00313,0.0,0.714824,0.28788,0.287552,0.840443,0.128984,1e-06,1.540928,1e-06,0.982695,0.389278,0.844665
0.2838,1.2415,0.718093,0.003769,0.0,0.714262,0.153151,0.152998,0.789271,0.133854,1e-06,1.588996,1e-06,0.815574,0.758515,0.795124
0.2838,1.4537,0.714577,0.006762,0.0,0.709967,0.079505,0.079265,0.754245,0.133177,1e-06,1.80651,1e-06,0.43267,0.949796,0.802325
0.2838,1.7022,0.711955,0.008099,0.0,0.707025,0.049553,0.04901,0.73513,0.13375,1e-06,1.885357,0.0,0.208909,0.997661,0.796189
0.2838,1.9932,0.709561,0.007542,0.0,0.705419,0.030632,0.030543,0.721875,0.132786,0.0,1.855233,0.0,0.089194,0.994652,0.806481
0.2838,2.3339,0.706283,0.007557,0.0,0.703535,0.024796,0.024518,0.711745,0.13388,0.0,1.856843,0.0,0.061107,0.973224,0.794661
0.2838,2.7328,0.703704,0.009755,0.0,0.700315,0.015713,0.015126,0.708646,0.133125,0.0,1.960091,0.0,0.023495,0.964962,0.802848
0.2838,3.2,0.705011,0.009324,0.0,0.702444,0.020602,0.020453,0.708594,0.133411,0.0,1.932514,0.0,0.048345,0.96417,0.799858
0.3684,0.3,0.689969,0.010614,0.0,0.689853,0.754584,0.629636,0.942969,0.066719,0.0,1.970368,0.0,0.984471,0.029139,0.79759
0.3684,0.3513,0.678337,0.011395,0.0,0.678247,0.745919,0.606713,0.941432,0.06987,0.0,1.988077,0.0,0.986771,0.030906,0.827727
0.3684,0.4113,0.684595,0.010639,0.0,0.684185,0.716028,0.599885,0.938854,0.074479,0.0,1.914204,0.0,0.989476,0.034093,0.861611
0.3684,0.4816,0.688564,0.00995,0.0,0.687722,0.68746,0.594039,0.933333,0.078984,0.0,1.960971,0.0,0.990443,0.041044,0.899134
0.3684,0.564,0.698933,0.010989,0.0,0.698214,0.651459,0.558156,0.926406,0.08474,0.0,1.982229,0.0,0.993524,0.052199,0.926818
0.3684,0.6604,0.704894,0.006699,0.0,0.704521,0.577864,0.540966,0.913307,0.100156,0.0,1.80165,0.0,0.998668,0.077181,0.975001
0.3684,0.7733,0.713097,0.006293,0.0,0.712979,0.501756,0.484647,0.895495,0.11125,0.0,1.772927,1e-06,0.999187,0.126858,0.951706
0.3684,0.9055,0.717671,0.003876,0.0,0.716261,0.391247,0.385717,0.867995,0.122708,0.0,1.59718,1e-06,0.996233,0.237747,0.898196
0.3684,1.0602,0.718827,0.003647,0.0,0.715453,0.262377,0.262181,0.83151,0.130026,1e-06,1.580205,1e-06,0.97089,0.453026,0.834253
0.3684,1.2415,0.717932,0.004134,0.0,0.713983,0.143544,0.142248,0.789401,0.133151,1e-06,1.6166,1e-06,0.783472,0.756769,0.802602
0.3684,1.4537,0.714426,0.00614,0.0,0.709795,0.080546,0.080144,0.75474,0.133776,1e-06,1.763012,0.0,0.441147,0.950707,0.795988
0.3684,1.7022,0.711949,0.008315,0.0,0.707628,0.036863,0.036437,0.728568,0.133438,1e-06,1.896163,0.0,0.123501,0.998885,0.799503
0.3684,1.9932,0.707728,0.008207,0.0,0.704225,0.022705,0.021981,0.712865,0.133958,0.0,1.889522,0.0,0.048747,0.977061,0.794005
0.3684,2.3339,0.70405,0.008762,0.0,0.701013,0.017513,0.017437,0.708047,0.132708,0.0,1.920943,0.0,0.030673,0.962979,0.807316
0.3684,2.7328,0.704317,0.008804,0.0,0.701371,0.019239,0.019121,0.710677,0.132656,0.0,1.917658,0.0,0.035924,0.971055,0.807778
0.3684,3.2,0.705331,0.009522,0.0,0.702517,0.016268,0.016009,0.706146,0.133151,0.0,1.95301,0.0,0.026311,0.955539,0.802585
0.4782,0.3,0.686532,0.009068,0.0,0.686291,0.74097,0.636343,0.941849,0.069167,0.0,1.918774,0.0,0.986641,0.030444,0.820728
0.4782,0.3513,0.677659,0.010792,0.0,0.677461,0.732725,0.58743,0.941406,0.071016,0.0,1.936152,0.0,0.986789,0.031031,0.835757
0.4782,0.4113,0.680989,0.010322,0.0,0.680902,0.710992,0.600543,0.937604,0.07526,0.0,1.966896,0.0,0.988547,0.035406,0.868933
0.4782,0.4816,0.689643,0.008229,0.0,0.689245,0.674003,0.588487,0.932917,0.079792,0.0,1.887657,0.0,0.994014,0.041084,0.905191
0.4782,0.564,0.693896,0.008997,0.0,0.693349,0.653091,0.559728,0.925885,0.087135,0.0,1.917563,0.0,0.996464,0.052374,0.93263
0.4782,0.6604,0.702682,0.008339,0.0,0.702354,0.556585,0.515483,0.90776,0.103724,0.0,1.89955,0.0,0.997731,0.092941,0.96426
0.4782,0.7733,0.711815,0.006632,0.0,0.711595,0.48128,0.47334,0.890729,0.113203,0.0,1.797471,1e-06,0.999286,0.140747,0.949988
0.4782,0.9055,0.71719,0.004487,0.0,0.715764,0.376925,0.372849,0.864297,0.12362,0.0,1.6429,1e-06,0.994745,0.255275,0.891031
0.4782,1.0602,0.718247,0.003851,0.0,0.715096,0.235047,0.234225,0.824193,0.131589,1e-06,1.59529,1e-06,0.954464,0.50295,0.818784
0.4782,1.2415,0.716344,0.005049,0.0,0.712409,0.138451,0.137585,0.781667,0.133646,1e-06,1.685509,1e-06,0.768398,0.809237,0.7973
0.4782,1.4537,0.71341,0.006762,0.0,0.709074,0.067659,0.067611,0.748776,0.133672,1e-06,1.805471,0.0,0.346982,0.969936,0.797094
0.4782,1.7022,0.710263,0.007198,0.0,0.705504,0.036018,0.035745,0.726719,0.134115,0.0,1.831454,0.0,0.123211,0.997412,0.792313
0.4782,1.9932,0.708227,0.007267,0.0,0.704198,0.027366,0.025853,0.716589,0.133594,0.0,1.836949,0.0,0.069907,0.98527,0.797843
0.4782,2.3339,0.706329,0.008264,0.0,0.703811,0.013198,0.012787,0.708047,0.133464,0.0,1.896083,0.0,0.018476,0.962487,0.799331
0.4782,2.7328,0.704967,0.008786,0.0,0.701638,0.018358,0.018143,0.707995,0.132865,0.0,1.917238,0.0,0.032896,0.962775,0.805598
0.4782,3.2,0.706165,0.008263,0.0,0.703576,0.015522,0.015214,0.704922,0.134089,0.0,1.892553,0.0,0.025174,0.951704,0.792609
0.6207,0.3,0.687624,0.011277,0.0,0.687526,0.726283,0.627637,0.940443,0.070547,0.0,1.99423,0.0,0.99039,0.032,0.831102
0.6207,0.3513,0.68204,0.011486,0.0,0.681886,0.719139,0.619263,0.939453,0.073359,0.0,1.984073,0.0,0.991536,0.03305,0.855719
