stage,epoch,mean_H,std_H,opacity_up,opacity_down,opacity_temp_mi1,opacity_temp_decay,tcomp,gzip,w_H,w_OP_s,w_OP_t,w_T,w_G,score,grid_shape
N2,3,0.821861,0.24559,0.756146,0.809275,0.001457,0.0,0.416667,0.189583,1.0,0.0,0.0,0.124406,0.200883,0.0,120x8
N2,4,0.907262,0.114429,0.708313,0.888423,0.002497,0.0,0.439583,0.203125,0.999812,0.0,0.0,0.2143,0.1192,0.0,120x8
N2,5,0.896055,0.142319,0.732535,0.882481,0.000426,0.0,0.441667,0.204167,0.999939,0.0,0.0,0.224247,0.114162,0.0,120x8
N2,6,0.906752,0.128783,0.712443,0.880516,5e-06,0.0,0.43125,0.194792,0.999822,0.0,0.0,0.177526,0.16578,0.0,120x8
N2,7,0.81478,0.236806,0.746085,0.799432,0.0,0.0,0.43125,0.191667,1.0,0.0,0.0,0.177526,0.18627,0.0,120x8
N2,8,0.894098,0.172187,0.715164,0.87212,0.000458,0.0,0.426042,0.204167,0.99995,0.0,0.0,0.156953,0.114162,0.0,120x8
N2,9,0.914382,0.106603,0.70465,0.891749,8e-06,0.0,0.441667,0.205208,0.999618,0.0,0.0,0.224247,0.109289,0.0,120x8
N2,10,0.917722,0.124399,0.687265,0.877407,5e-05,0.0,0.444792,0.197917,0.999466,0.0,0.0,0.239734,0.146969,0.0,120x8
N2,11,0.899106,0.132721,0.724181,0.888663,0.000947,0.0,0.45,0.202083,0.999917,0.0,0.0,0.267052,0.124406,0.0,120x8
N2,12,0.904128,0.145039,0.710761,0.869084,0.001336,0.0,0.417708,0.210417,0.999863,0.0,0.0,0.127747,0.087303,0.0,120x8
N2,13,0.925173,0.101746,0.683924,0.896163,0.000344,0.0,0.436458,0.205208,0.998875,0.0,0.0,0.199947,0.109289,0.0,120x8
N2,14,0.916164,0.109644,0.727238,0.905614,4.2e-05,0.0,0.436458,0.201042,0.999543,0.0,0.0,0.199947,0.129784,0.0,120x8
N2,15,0.892807,0.13082,0.723922,0.870779,1.3e-05,0.0,0.438542,0.204167,0.999956,0.0,0.0,0.20944,0.114162,0.0,120x8
N2,16,0.897092,0.131789,0.731722,0.879254,2e-05,0.0,0.434375,0.202083,0.999932,0.0,0.0,0.190754,0.124406,0.0,120x8
N2,17,0.8945,0.163103,0.741538,0.880034,3.4e-05,0.0,0.427083,0.208333,0.999948,0.0,0.0,0.160922,0.095634,0.0,120x8
N2,18,0.852519,0.175237,0.758075,0.832368,6.9e-05,0.0,0.430208,0.197917,0.999999,0.0,0.0,0.173265,0.146969,0.0,120x8
N2,19,0.900277,0.143818,0.6993,0.859049,0.002286,0.0,0.436458,0.198958,0.999907,0.0,0.0,0.199947,0.141063,0.0,120x8
N2,20,0.838486,0.196134,0.714804,0.811987,0.001553,0.0,0.416667,0.202083,1.0,0.0,0.0,0.124406,0.124406,0.0,120x8
N2,21,0.823629,0.20854,0.732437,0.803393,0.000175,0.0,0.435417,0.195833,1.0,0.0,0.0,0.195313,0.159326,0.0,120x8
N2,22,0.925793,0.089328,0.653623,0.870234,0.003596,0.0,0.43125,0.204167,0.998803,0.0,0.0,0.177526,0.114162,0.0,120x8
N2,23,0.869636,0.195706,0.745051,0.84867,0.001556,0.0,0.430208,0.204167,0.999996,0.0,0.0,0.173265,0.114162,0.0,120x8
N2,24,0.895606,0.148176,0.712491,0.861019,0.000229,0.0,0.425,0.202083,0.999941,0.0,0.0,0.153056,0.124406,0.0,120x8
N2,25,0.924489,0.083326,0.651022,0.868537,5.9e-05,0.0,0.436458,0.195833,0.998949,0.0,0.0,0.199947,0.159326,0.0,120x8
N2,26,0.887345,0.123644,0.706818,0.835069,0.000306,0.0,0.43125,0.202083,0.999974,0.0,0.0,0.177526,0.124406,0.0,120x8
N2,27,0.92573,0.090471,0.667905,0.88864,0.000283,0.0,0.425,0.208333,0.998811,0.0,0.0,0.153056,0.095634,0.0,120x8
N2,28,0.894981,0.166717,0.700423,0.861707,0.000854,0.0,0.427083,0.204167,0.999945,0.0,0.0,0.160922,0.114162,0.0,120x8
N2,29,0.899981,0.123988,0.709423,0.860035,0.001139,0.0,0.422917,0.211458,0.999909,0.0,0.0,0.145475,0.08336,0.0,120x8
