rule,wolfram_class,opacity_up,opacity_down,opacity_mi
219,C2,0.0,0.31723,0.0
220,C2,0.0,0.71938,0.0
221,C2,0.0,0.71938,0.0
222,C2,0.0,0.57876,0.0
223,C2,0.0,0.47991,0.0
224,C2,0.0,0.0,0.0
225,C2,0.32595,0.99641,0.00251
226,C2,0.0,0.51633,0.0
227,C2,0.0,0.70502,0.0
228,C2,0.0,0.54029,0.0
229,C2,0.0,0.89993,0.0
230,C2,0.0,0.61381,0.0
231,C2,0.0,0.61366,0.0
232,C2,0.0,0.76527,0.0
233,C2,0.0,0.37498,0.0
234,C2,0.0,0.0,0.0
235,C2,0.0,0.0,0.0
236,C2,0.0,0.83696,0.0
237,C2,0.0,0.4844,0.0
238,C2,0.0,0.0,0.0
239,C2,0.0,0.0,0.0
240,C2,0.0,0.9913,0.0
241,C2,0.0,0.91576,0.0
242,C2,0.0,0.74736,0.0
243,C2,0.0,0.71938,0.0
244,C2,0.0,0.88987,0.0
245,C2,0.0,0.77428,0.0
246,C2,0.0,0.59438,0.0
247,C2,0.0,0.50426,0.0
248,C2,0.0,0.0,0.0
249,C2,0.0,0.0,0.0
250,C2,0.0,0.0,0.0
251,C2,0.0,0.0,0.0
252,C2,0.0,0.0,0.0
253,C2,0.0,0.0,0.0
254,C2,0.0,0.0,0.0
255,C1,0.0,0.0,0.0
