b_int,s_int,rule,known_name,known_class,activity,complexity,mean_H,std_H,opacity_up,opacity_down,tcomp,gzip,w_H,w_OP,w_T,w_G,rank
349,231,B023468/S012567,,,active,0.08846609,0.89518,0.02015,0.0,0.89248,0.61877,0.15444,1.59517,0.11283,0.88922,0.55277,243
169,412,B0357/S23478,,,active,0.08803808,0.99697,0.00368,0.12632,0.99612,0.54253,0.16074,0.23773,0.86436,0.89611,0.47811,244
93,225,B02346/S0567,,,active,0.0879133,0.88716,0.02185,0.01864,0.88517,0.70119,0.15363,1.46856,0.11354,0.9372,0.56258,245
229,259,B02567/S018,,,chaotic,0.08738768,0.92861,0.02001,0.164,0.92697,0.42685,0.15822,1.60325,0.67095,0.16002,0.50768,246
357,99,B02568/S0156,,,chaotic,0.08686252,0.94793,0.01292,0.31028,0.94623,0.47518,0.15921,1.97167,0.20957,0.42384,0.49598,247
438,351,B124578/S0123468,,,chaotic,0.08661787,0.94975,0.01468,0.32339,0.94918,0.49144,0.1599,1.91984,0.17063,0.54186,0.48797,248
489,418,B035678/S1578,,,chaotic,0.08602083,0.9445,0.0124,0.247,0.94455,0.43095,0.15917,1.98326,0.49559,0.17629,0.49646,249
300,172,B2358/S2357,,,chaotic,0.08505678,0.99429,0.00413,0.05035,0.99439,0.50881,0.16114,0.44936,0.594,0.67301,0.47348,250
38,220,B125/S23467,,,active,0.08359855,0.99187,0.00464,0.0,0.99234,0.67931,0.1613,0.63775,0.33967,0.81815,0.47169,251
127,212,B0123456/S2467,,,chaotic,0.08327328,0.90596,0.01596,0.0,0.90649,0.48564,0.15643,1.8843,0.1675,0.4988,0.52896,252
62,107,B12345/S01356,,,chaotic,0.08317633,0.96077,0.01708,0.30651,0.95693,0.47151,0.15936,1.74713,0.24159,0.3987,0.49426,253
142,443,B1237/S0134578,,,active,0.0829774,0.99245,0.00426,0.0,0.98977,0.78378,0.15794,0.58649,0.3471,0.79774,0.51096,254
27,214,B0134/S12467,,,chaotic,0.08206846,0.99593,0.00376,0.06118,0.9951,0.53208,0.16085,0.31864,0.64621,0.83577,0.47688,255
111,446,B012356/S1234578,,,active,0.08196847,0.89151,0.02134,0.0,0.88959,0.60393,0.15444,1.50551,0.10298,0.95625,0.55287,256
458,462,B13678/S123678,,,active,0.08160628,0.99724,0.00289,0.15479,0.99715,0.5596,0.16114,0.20861,0.85351,0.96802,0.47348,257
148,336,B247/S468,,,chaotic,0.08141974,0.94287,0.01126,0.20805,0.94286,0.41533,0.15896,1.98255,0.68464,0.12022,0.49895,258
5,132,B02/S27,,,chaotic,0.08105198,0.90887,0.02537,0.06103,0.89655,0.48145,0.15404,1.24725,0.24889,0.46827,0.55757,259
373,364,B024568/S23568,,,chaotic,0.08029809,0.89227,0.01862,0.0,0.89278,0.52171,0.15571,1.71037,0.11389,0.76688,0.53752,260
338,131,B1468/S017,,,chaotic,0.0794634,0.89891,0.01894,0.0,0.89919,0.50351,0.15547,1.68662,0.1377,0.63311,0.54045,261
354,414,B1568/S123478,,,active,0.07812264,0.99724,0.00236,0.16419,0.99684,0.7002,0.15972,0.20325,0.84084,0.93295,0.48997,262
167,402,B01257/S1478,,,chaotic,0.0781195,0.9839,0.01016,0.03726,0.97777,0.43896,0.16042,1.31595,0.58282,0.21137,0.48189,263
68,393,B26/S0378,,,active,0.0777024,0.88223,0.01822,0.0,0.88251,0.5688,0.1542,1.73884,0.08121,0.99025,0.55571,264
61,89,B02345/S0346,,,chaotic,0.07768761,0.97601,0.01747,0.19836,0.97043,0.4168,0.15936,1.49305,0.84341,0.12482,0.49426,265
330,353,B1368/S0568,,,chaotic,0.0758645,0.93262,0.01472,0.08515,0.93118,0.41585,0.15849,1.93921,0.63642,0.12184,0.50451,266
401,140,B0478/S237,,,active,0.07532854,0.89968,0.02049,0.0,0.89336,0.66905,0.15439,1.56949,0.11592,0.7481,0.55345,267
163,56,B0157/S345,,,active,0.07516203,0.99715,0.0029,0.11322,0.98932,0.67646,0.16,0.21575,0.89538,0.79939,0.48673,268
105,375,B0356/S0124568,,,active,0.07464703,0.89233,0.02065,0.0,0.89143,0.63365,0.15471,1.5576,0.1092,0.79862,0.54954,269
219,413,B013467/S023478,,,chaotic,0.07361272,0.97698,0.0086,0.01863,0.9748,0.43746,0.16036,1.56554,0.47655,0.20447,0.48256,270
470,443,B124678/S0134578,,,active,0.07316446,0.88054,0.01833,0.0,0.88107,0.56462,0.15403,1.7315,0.07717,0.98168,0.55777,271
205,311,B02367/S012458,,,active,0.07240095,0.99391,0.00435,0.0,0.99397,0.55351,0.16112,0.4826,0.33458,0.94664,0.47367,272
317,110,B023458/S12356,,,chaotic,0.07223671,0.95591,0.0192,0.32145,0.94793,0.48586,0.15824,1.62685,0.1749,0.50036,0.50739,273
149,325,B0247/S0268,,,chaotic,0.072073,0.96352,0.01286,0.23996,0.96207,0.41902,0.16047,1.89302,0.59916,0.13205,0.48123,274
324,118,B268/S12456,,,active,0.07171792,0.99541,0.00357,0.01864,0.99446,0.74648,0.16012,0.35531,0.42483,0.97902,0.48531,275
195,412,B0167/S23478,,,active,0.07110469,0.97654,0.00561,0.0,0.97091,0.88136,0.13372,1.42468,0.37525,0.16697,0.79655,276
74,95,B136/S012346,,,active,0.07072958,0.99302,0.00399,0.0,0.99251,0.67749,0.16057,0.53882,0.33915,0.80621,0.48009,277
53,172,B0245/S2357,,,chaotic,0.06863687,0.98872,0.00556,0.0,0.98875,0.48177,0.16112,0.8801,0.34982,0.47056,0.47376,278
38,162,B125/S157,,,chaotic,0.06793603,0.96808,0.0144,0.24492,0.96227,0.41973,0.15954,1.80169,0.56988,0.13444,0.49216,279
125,433,B023456/S04578,,,chaotic,0.06763802,0.89937,0.01984,0.0,0.89732,0.4981,0.15545,1.61889,0.1305,0.59216,0.54064,280
233,135,B03567/S0127,,,chaotic,0.06726284,0.97565,0.00988,0.01868,0.97632,0.43211,0.1611,1.6488,0.47526,0.18111,0.47395,281
131,227,B017/S01567,,,active,0.06692608,0.9559,0.02286,0.32332,0.90797,0.55474,0.15074,1.36408,0.0863,0.95139,0.59755,282
276,361,B248/S03568,,,active,0.06682308,0.99508,0.00325,0.01862,0.99542,0.54122,0.16076,0.37379,0.4207,0.88914,0.47792,283
306,143,B1458/S01237,,,chaotic,0.066007,0.99496,0.00471,0.09287,0.9934,0.4755,0.16131,0.40966,0.80209,0.42605,0.4715,284
276,220,B248/S23467,,,active,0.0659773,0.99495,0.00323,0.0,0.98871,0.74238,0.15898,0.38265,0.34994,0.98809,0.49866,285
115,375,B01456/S0124568,,,active,0.06552524,0.88262,0.02449,0.01862,0.87936,0.60001,0.15354,1.29545,0.09259,0.96921,0.56366,286
226,424,B1567/S3578,,,active,0.06532555,0.87483,0.02012,0.01866,0.87257,0.59277,0.1524,1.59741,0.07173,0.98735,0.57743,287
279,232,B01248/S3567,,,active,0.06473193,0.99637,0.00297,0.03735,0.99558,0.60368,0.161,0.27481,0.51802,0.95714,0.47508,288
387,486,B0178/S125678,,,active,0.06471881,0.94435,0.00741,0.1166,0.91928,0.91858,0.08903,1.83402,0.58167,0.06214,0.97622,289
138,225,B137/S0567,,,chaotic,0.06432382,0.92751,0.01654,0.03166,0.92559,0.43218,0.15787,1.84846,0.37484,0.18138,0.51182,290
18,302,B14/S12358,,,active,0.06428008,0.99518,0.00378,0.04253,0.99538,0.65295,0.16112,0.37614,0.5467,0.65981,0.47376,291
140,81,B237/S046,,,chaotic,0.06393124,0.97604,0.00946,0.01863,0.9761,0.43063,0.16117,1.62508,0.4752,0.17499,0.4731,292
298,231,B1358/S012567,,,active,0.06358817,0.99674,0.00299,0.05044,0.99533,0.54862,0.16131,0.24728,0.58901,0.92594,0.4715,293
130,24,B17/S34,,,active,0.06331728,0.89013,0.02151,0.0,0.87758,0.73822,0.14832,1.49315,0.06801,0.99473,0.62686,294
22,277,B124/S0248,,,chaotic,0.06327994,0.98723,0.0116,0.05019,0.98158,0.43148,0.16026,1.12701,0.65044,0.17847,0.48369,295
6,161,B12/S057,,,chaotic,0.06259766,0.92994,0.02315,0.20447,0.91398,0.43472,0.15505,1.37636,0.43367,0.19228,0.54543,296
397,177,B02378/S0457,,,chaotic,0.06201714,0.99501,0.0037,0.01869,0.99531,0.52617,0.1609,0.38734,0.42154,0.79743,0.47631,297
189,441,B023457/S034578,,,active,0.06143806,0.88054,0.02124,0.0,0.87932,0.57445,0.15372,1.51357,0.07247,0.9976,0.5615,298
364,102,B23568/S1256,,,chaotic,0.06055977,0.97911,0.00801,0.01868,0.97944,0.43282,0.1609,1.46796,0.47058,0.18409,0.47622,299
379,182,B0134568/S12457,,,chaotic,0.06034535,0.91682,0.0192,0.03166,0.91457,0.44246,0.15652,1.66604,0.30076,0.22813,0.52789,300
329,418,B0368/S1578,,,active,0.06009026,0.88213,0.02081,0.0,0.8822,0.53806,0.15422,1.54535,0.08031,0.87161,0.55551,301
119,443,B012456/S0134578,,,active,0.05900828,0.87559,0.02164,0.01865,0.87154,0.57446,0.1523,1.48407,0.06888,0.99761,0.57861,302
13,89,B023/S0346,,,active,0.05837689,0.996,0.0034,0.01869,0.99583,0.60573,0.16091,0.30799,0.41923,0.9496,0.47612,303
285,307,B02348/S01458,,,chaotic,0.05783107,0.99593,0.00448,0.12621,0.99604,0.47546,0.16088,0.32953,0.86493,0.42582,0.4765,304
166,145,B1257/S047,,,chaotic,0.05718395,0.96449,0.01252,0.24816,0.96054,0.41305,0.15983,1.8865,0.54726,0.11333,0.48873,305
325,238,B0268/S123567,,,active,0.05641103,0.99139,0.00401,0.0,0.98902,0.83007,0.15536,0.65222,0.34911,0.45733,0.54172,306
149,342,B0247/S12468,,,active,0.05498664,0.99792,0.00236,0.15481,0.99821,0.54119,0.16086,0.15382,0.84356,0.88897,0.47669,307
267,218,B0138/S13467,,,active,0.05441506,0.99472,0.0036,0.0,0.99402,0.68269,0.16086,0.40657,0.33442,0.83958,0.47669,308
207,207,B012367/S012367,,,chaotic,0.05440944,0.99568,0.00401,0.06901,0.99034,0.48131,0.16093,0.34195,0.71557,0.46722,0.47593,309
347,358,B013468/S12568,,,chaotic,0.05428712,0.98676,0.00563,0.0,0.98704,0.4601,0.1614,1.00174,0.35415,0.32526,0.47047,310
217,374,B03467/S124568,,,active,0.05376519,0.86212,0.02506,0.08205,0.85994,0.60197,0.15142,1.26374,0.07497,0.96299,0.58926,311
313,343,B03458/S012468,,,chaotic,0.05282286,0.98053,0.00901,0.01864,0.97959,0.42756,0.16091,1.44992,0.47008,0.16278,0.47612,312
