mean_H,std_H,op_up,op_dn,mi1,decay,tcomp,gzip,w_H,w_OP_s,w_OP_t,w_T,w_G,score,T,seed,magnetisation
0.664584,0.128519,0.592183,0.564244,0.112906,0.06659,0.703046,0.097877,1.0,0.0,0.472049,0.944822,0.999099,0.4456,2.26,2,0.183057
0.653523,0.125409,0.596987,0.558223,0.122924,0.016811,0.707283,0.097507,1.0,0.0,0.14029,0.960484,0.998758,0.134578,2.26,3,0.15193
0.64653,0.119896,0.570906,0.552744,0.117704,0.02246,0.713905,0.096853,1.0,0.0,0.182575,0.979964,0.998021,0.178563,2.26,4,0.249578
0.65829,0.130675,0.622028,0.560401,0.111981,0.036048,0.704224,0.097437,1.0,0.0,0.279104,0.949419,0.998687,0.264639,2.26,5,0.211774
0.651882,0.122317,0.589589,0.556205,0.1069,0.023249,0.709317,0.097231,1.0,0.0,0.180217,0.967132,0.998467,0.174027,2.26,6,0.279637
0.65622,0.132885,0.615877,0.556849,0.124142,0.048288,0.706136,0.096722,1.0,0.0,0.37941,0.956484,0.997853,0.36212,2.26,7,0.127093
0.658535,0.123875,0.425828,0.561123,0.003671,0.003663,0.707497,0.097648,1.0,0.0,0.001343,0.96121,0.998894,0.00129,2.26,8,0.618037
0.655286,0.117544,0.482528,0.559442,0.044242,0.030466,0.708726,0.097503,1.0,0.0,0.122853,0.965258,0.998754,0.118437,2.26,9,0.495107
0.650444,0.127014,0.543615,0.555578,0.063069,0.057525,0.707761,0.097195,1.0,0.0,0.289991,0.962099,0.998427,0.278561,2.26,10,0.442645
0.653134,0.123994,0.458224,0.557177,0.003183,0.003182,0.708773,0.097286,1.0,0.0,0.001012,0.96541,0.998528,0.000976,2.26,11,0.620811
0.674745,0.135824,0.622399,0.569818,0.084646,0.020954,0.696375,0.098173,1.0,0.0,0.142344,0.915455,0.999333,0.130222,2.26,12,0.310848
0.651265,0.132348,0.622826,0.555823,0.116993,0.063027,0.70762,0.097029,1.0,0.0,0.460128,0.961627,0.998236,0.441691,2.26,13,0.208127
0.657975,0.123679,0.569961,0.561174,0.105129,0.057994,0.704954,0.097708,1.0,0.0,0.408851,0.952172,0.998949,0.388887,2.26,14,0.259341
0.658007,0.123635,0.574284,0.560919,0.126987,0.015463,0.70725,0.097579,1.0,0.0,0.130979,0.960373,0.998828,0.125641,2.26,15,0.110205
0.657862,0.130925,0.622555,0.55963,0.128224,0.050556,0.706784,0.097396,1.0,0.0,0.399807,0.958766,0.998645,0.382802,2.26,16,0.066084
0.644301,0.105839,0.386335,0.552353,0.012077,0.011001,0.716605,0.096895,1.0,0.0,0.013169,0.98608,0.998074,0.012961,2.26,17,0.604287
0.653891,0.12,0.569265,0.558047,0.117138,0.023971,0.709866,0.097441,1.0,0.0,0.193992,0.968825,0.998691,0.187699,2.26,18,0.230601
0.668174,0.138218,0.598892,0.566096,0.071044,0.038428,0.699341,0.097941,1.0,0.0,0.223861,0.929195,0.999153,0.207834,2.26,19,0.385005
