model,seed,C,C_a,wH_a,wOPs_a,wOPt_a,wT_a,wG_a,mean_H,std_H,op_up,op_down,mi1,decay,tc_mean,gzip_ratio
random,83,0.0,0.525989,0.357476,1.30666,0.999582,0.641662,0.994304,0.968586,0.029493,0.461879,0.968288,0.470184,0.459832,0.923901,0.70707
random,84,0.0,0.052601,0.03939,1.025692,0.999169,0.664769,0.99206,0.996187,0.005606,0.266993,0.996475,0.425762,0.424605,0.919869,0.723742
random,85,0.0,0.124568,0.097442,1.079728,0.998889,0.618604,0.994202,0.990794,0.010247,0.248959,0.990633,0.411666,0.408575,0.927726,0.707963
random,86,0.0,0.04737,0.037532,1.034615,0.991423,0.626566,0.994232,0.996381,0.006275,0.295522,0.995995,0.309056,0.305107,0.926426,0.707701
random,87,0.0,0.224807,0.159419,1.1334,0.999463,0.665407,0.99362,0.985359,0.01616,0.401846,0.986513,0.449012,0.448792,0.919754,0.712765
random,88,0.0,0.224475,0.164901,1.177863,0.996561,0.630129,0.99351,0.984651,0.013829,0.256412,0.980803,0.35365,0.352227,0.925837,0.713619
random,89,0.0,0.190773,0.153449,1.114426,0.998461,0.592494,0.993093,0.985915,0.016159,0.409334,0.988449,0.394041,0.392891,0.93185,0.716747
random,90,0.0,0.293237,0.199953,1.181485,0.999559,0.676891,0.99336,0.981783,0.01836,0.304338,0.981179,0.462076,0.459427,0.917665,0.714771
random,91,0.0,0.222889,0.163563,1.145157,0.998591,0.638797,0.9951,0.984779,0.013845,0.20067,0.981734,0.403389,0.393092,0.924386,0.699523
random,92,0.0,0.080519,0.064367,1.114299,0.998349,0.595114,0.994963,0.993889,0.009099,0.349144,0.988332,0.39035,0.389424,0.931445,0.700904
random,93,0.0,0.326268,0.223396,1.193973,0.999152,0.669999,0.993941,0.980044,0.022518,0.454557,0.980327,0.425391,0.42294,0.918926,0.71017
random,94,0.0,0.26892,0.200628,1.158104,0.998489,0.625378,0.993848,0.981807,0.019234,0.328174,0.983766,0.398962,0.390263,0.926621,0.710938
random,95,0.0,0.165318,0.118183,1.058604,0.999374,0.683874,0.993908,0.98905,0.013975,0.20753,0.991013,0.443287,0.437918,0.916364,0.710446
random,96,0.0,0.047172,0.035515,1.031327,0.998952,0.658968,0.992763,0.996561,0.005528,0.332085,0.996605,0.415306,0.411037,0.920901,0.719088
random,97,0.0,0.075955,0.062056,1.049034,0.999327,0.601615,0.993227,0.994038,0.007006,0.288929,0.994474,0.436492,0.436339,0.930432,0.715762
random,98,0.0,0.077669,0.061229,1.033841,0.999533,0.627903,0.99353,0.994148,0.007929,0.206109,0.993416,0.472596,0.447826,0.926205,0.713465
random,99,0.0,0.067317,0.052003,1.051285,0.999387,0.635282,0.993645,0.995034,0.008005,0.340196,0.994644,0.447942,0.436407,0.924978,0.712567
