condition,trial,stride,T_eff,C_a,mi1,decay,tc_mean,gzip_ratio,op_up,op_down,mean_H,wH_a,wOPs_a,wOPt_a,wT_a,wG_a
rand_random,12,16,12,0.012594,0.291703,0.145556,0.705829,0.234776,0.320036,0.999169,0.999325,0.006801,1.004988,0.891552,0.994443,0.981893
rand_random,13,1,200,0.010254,0.350022,0.056384,0.778249,0.232337,0.32118,0.999243,0.999297,0.007069,1.004324,0.509889,0.976568,0.980996
rand_random,13,2,100,0.007974,0.285664,0.024074,0.772891,0.232747,0.326759,0.99932,0.999333,0.006703,1.003899,0.234638,0.978924,0.98115
rand_random,13,4,50,0.011601,0.304093,0.070087,0.759063,0.232891,0.332457,0.999152,0.999257,0.007472,1.005886,0.60216,0.983975,0.981204
rand_random,13,8,25,0.013096,0.288483,0.096189,0.732344,0.232135,0.329466,0.999184,0.999233,0.007719,1.005409,0.740482,0.990577,0.98092
rand_random,13,16,12,0.01395,0.242339,0.231182,0.691807,0.232272,0.32007,0.999385,0.999279,0.007256,1.002834,0.965275,0.995799,0.980972
rand_random,14,1,200,0.012115,0.611941,0.006933,0.805547,0.233053,0.20298,0.998972,0.998779,0.012302,0.976357,0.069162,0.959892,0.981264
rand_random,14,2,100,0.018517,0.590549,0.058325,0.797839,0.233099,0.185485,0.998868,0.998697,0.013132,0.963517,0.524726,0.965523,0.981281
rand_random,14,4,50,0.012218,0.548954,0.01557,0.784583,0.232604,0.226265,0.999021,0.998889,0.011195,0.988358,0.154415,0.973445,0.981097
rand_random,14,8,25,0.009453,0.471346,0.0,0.759948,0.233229,0.240206,0.999016,0.999021,0.009856,0.993582,0.0,0.983691,0.981329
rand_random,14,16,12,0.013417,0.801699,0.00965,0.722857,0.233073,0.205938,0.998841,0.998725,0.012853,0.979586,0.092623,0.992199,0.981271
