model,L,param,seed,C_a,mean_H,op_up,op_down,mi1,tc_mean,gzip_ratio
Potts q=4,128,0.85,2,0.605183,0.88718,0.0,0.593753,0.70268,0.939313,0.079367
Potts q=4,128,0.85,3,0.85297,0.553245,0.232054,0.403892,0.624399,0.94436,0.06059
Potts q=4,128,0.85,4,0.687662,0.669284,0.0,0.476321,0.575549,0.940274,0.06875
Potts q=4,128,0.85,5,0.639352,0.685862,0.0,0.478612,0.623384,0.942148,0.067365
Potts q=4,128,0.95,0,2.040161,0.819848,0.203188,0.705785,0.456692,0.88073,0.115968
Potts q=4,128,0.95,1,1.982859,0.825226,0.1691,0.705606,0.437324,0.88272,0.115307
Potts q=4,128,0.95,2,2.041194,0.812255,0.32949,0.697153,0.437646,0.882689,0.113703
Potts q=4,128,0.95,3,2.037922,0.805792,0.248726,0.702859,0.420581,0.878963,0.116438
Potts q=4,128,0.95,4,1.414867,0.739371,0.0,0.649253,0.3878,0.883802,0.108845
Potts q=4,128,0.95,5,1.272861,0.868483,0.0,0.747496,0.415779,0.876278,0.121759
Potts q=4,128,1.05,0,2.425236,0.820296,0.263417,0.752402,0.300695,0.844704,0.127232
Potts q=4,128,1.05,1,2.353573,0.821484,0.256321,0.755111,0.3153,0.843457,0.128197
Potts q=4,128,1.05,2,2.364719,0.820665,0.293687,0.753856,0.294431,0.8437,0.128108
Potts q=4,128,1.05,3,2.366026,0.812017,0.332657,0.745337,0.308802,0.845374,0.126743
Potts q=4,128,1.05,4,2.294029,0.813071,0.321036,0.748021,0.309884,0.843738,0.12713
Potts q=4,128,1.05,5,2.287283,0.79748,0.142649,0.735739,0.299567,0.844386,0.125307
Potts q=4,128,1.15,0,2.463904,0.803958,0.288418,0.759547,0.236803,0.819755,0.130788
Potts q=4,128,1.15,1,2.481794,0.813102,0.325815,0.766584,0.245972,0.819653,0.131447
Potts q=4,128,1.15,2,2.515923,0.798009,0.263492,0.754322,0.228314,0.820513,0.129803
Potts q=4,128,1.15,3,2.434954,0.815938,0.311286,0.769135,0.231693,0.819108,0.13201
Potts q=4,128,1.15,4,2.525687,0.823481,0.248531,0.775661,0.242049,0.819044,0.133023
Potts q=4,128,1.15,5,2.45664,0.823964,0.256276,0.777428,0.230376,0.817301,0.133369
Potts q=4,128,1.3,0,2.467953,0.812437,0.325863,0.781692,0.19467,0.792031,0.134994
Potts q=4,128,1.3,1,2.469172,0.80645,0.307389,0.776793,0.178743,0.792085,0.134491
Potts q=4,128,1.3,2,2.453986,0.811469,0.331923,0.780744,0.189874,0.792824,0.134731
Potts q=4,128,1.3,3,2.390158,0.817212,0.232032,0.786632,0.171984,0.790321,0.135889
Potts q=4,128,1.3,4,2.43367,0.81477,0.325868,0.784391,0.174192,0.789919,0.135472
Potts q=4,128,1.3,5,2.415914,0.819696,0.222959,0.789258,0.181487,0.790009,0.136204
Potts q=4,128,1.55,0,2.383461,0.812659,0.33308,0.793986,0.125289,0.760418,0.13789
Potts q=4,128,1.55,1,2.336666,0.81009,0.323604,0.792019,0.127165,0.759589,0.137429
Potts q=4,128,1.55,2,2.315392,0.816359,0.24871,0.797891,0.128913,0.758675,0.138277
Potts q=4,128,1.55,3,2.307173,0.810496,0.329511,0.792269,0.118361,0.760564,0.137493
Potts q=4,128,1.55,4,2.321668,0.810976,0.333141,0.792482,0.127265,0.760587,0.13751
Potts q=4,128,1.55,5,2.349752,0.8118,0.332639,0.793622,0.122786,0.759676,0.137611
Potts q=4,128,1.9,0,2.0896,0.810921,0.331934,0.799833,0.079006,0.731607,0.139023
Potts q=4,128,1.9,1,2.085243,0.81412,0.303213,0.803269,0.081053,0.73075,0.139613
Potts q=4,128,1.9,2,2.124423,0.813571,0.288461,0.802241,0.087706,0.731541,0.139527
Potts q=4,128,1.9,3,2.168963,0.811295,0.33193,0.80014,0.091578,0.731878,0.139211
Potts q=4,128,1.9,4,2.091409,0.810487,0.331927,0.799499,0.077365,0.731754,0.139015
Potts q=4,128,1.9,5,2.065789,0.809706,0.3259,0.798768,0.076725,0.732098,0.139005
Majority Vote,32,0.01,0,0.010424,0.996378,0.0,0.60016,0.880795,0.977283,0.103308
Majority Vote,32,0.01,1,0.445865,0.823994,0.12804,0.520834,0.894894,0.9776,0.102686
Majority Vote,32,0.01,2,0.112445,0.929681,0.0,0.628051,0.940212,0.977283,0.105725
Majority Vote,32,0.01,3,0.214009,0.896867,0.0,0.557634,0.922268,0.977405,0.10127
Majority Vote,32,0.01,4,0.036951,0.986732,0.0,0.64552,0.914508,0.97821,0.108984
Majority Vote,32,0.01,5,0.001389,0.999442,0.0,0.615197,0.887952,0.976855,0.109937
Majority Vote,32,0.03,0,0.065131,0.980057,0.0,0.590379,0.82897,0.957739,0.106641
Majority Vote,32,0.03,1,0.687091,0.540895,0.333203,0.368398,0.821087,0.956873,0.088379
Majority Vote,32,0.03,2,0.413365,0.651675,0.0,0.394161,0.711382,0.957813,0.083704
Majority Vote,32,0.03,3,0.271297,0.2852,0.0,0.222807,0.020025,0.957703,0.070801
Majority Vote,32,0.03,4,0.024245,0.995175,0.0,0.611366,0.78713,0.958252,0.108545
Majority Vote,32,0.03,5,0.016613,0.994701,0.0,0.619319,0.751814,0.956702,0.100513
Majority Vote,32,0.05,0,0.939871,0.538019,0.320762,0.403736,0.718142,0.940125,0.096252
Majority Vote,32,0.05,1,0.941196,0.595275,0.095382,0.409032,0.686386,0.940662,0.09635
Majority Vote,32,0.05,2,0.814546,0.417384,0.0,0.320615,0.516348,0.937903,0.08783
Majority Vote,32,0.05,3,0.324395,0.164368,0.0,0.165287,0.00787,0.940601,0.069348
Majority Vote,32,0.05,4,0.453854,0.307121,0.0,0.26347,0.000592,0.938733,0.083875
Majority Vote,32,0.05,5,0.005146,0.999437,0.112402,0.570447,0.726162,0.938708,0.101282
Majority Vote,32,0.07,0,0.051426,0.995198,0.0,0.609352,0.56814,0.918518,0.112793
Majority Vote,32,0.07,1,1.155411,0.564284,0.192433,0.428776,0.56395,0.918982,0.105969
Majority Vote,32,0.07,2,1.162416,0.399419,0.0,0.342248,0.524976,0.920215,0.100623
Majority Vote,32,0.07,3,0.50141,0.219204,0.0,0.219908,0.010517,0.920422,0.082458
Majority Vote,32,0.07,4,0.312703,0.970585,0.0,0.674943,0.346477,0.916919,0.128638
Majority Vote,32,0.07,5,0.007209,0.999064,0.0,0.685556,0.578328,0.918054,0.123645
Majority Vote,32,0.09,0,1.182562,0.888013,0.0,0.664202,0.298396,0.900293,0.137573
Majority Vote,32,0.09,1,0.641375,0.267133,0.0,0.267959,0.003995,0.901807,0.093188
Majority Vote,32,0.09,2,0.622458,0.266434,0.0,0.267047,0.003433,0.902576,0.092676
Majority Vote,32,0.09,3,0.498636,0.963979,0.11232,0.621601,0.495108,0.900476,0.116528
Majority Vote,32,0.09,4,0.615837,0.261011,0.0,0.26174,0.009287,0.905432,0.091809
Majority Vote,32,0.09,5,0.690674,0.644396,0.0,0.504326,7.4e-05,0.901318,0.117273
Majority Vote,32,0.11,0,1.399812,0.641086,0.0,0.533248,0.362364,0.882104,0.129932
Majority Vote,32,0.11,1,1.734442,0.834117,0.112309,0.594485,0.515562,0.882666,0.120935
Majority Vote,32,0.11,2,0.713094,0.30889,0.0,0.309368,0.008778,0.88606,0.101172
Majority Vote,32,0.11,3,0.754798,0.316828,0.0,0.317669,0.000189,0.883862,0.103125
Majority Vote,32,0.11,4,1.601649,0.723106,0.032242,0.56398,0.124144,0.882349,0.127515
Majority Vote,32,0.11,5,0.733766,0.318249,0.0,0.318755,0.000777,0.881824,0.102783
Majority Vote,32,0.14,0,0.831048,0.374535,0.0,0.37508,0.001157,0.858936,0.113025
Majority Vote,32,0.14,1,0.851875,0.377256,0.0,0.377945,0.002544,0.857776,0.114526
Majority Vote,32,0.14,2,0.830778,0.373948,0.0,0.374457,0.000345,0.859277,0.114465
Majority Vote,32,0.14,3,0.862136,0.375264,0.0,0.376066,0.004137,0.858801,0.113977
Majority Vote,32,0.14,4,0.855117,0.378828,0.0,0.379355,0.008567,0.858679,0.115417
Majority Vote,32,0.14,5,0.84749,0.372386,0.0,0.373053,0.005031,0.858069,0.113562
Majority Vote,32,0.18,0,1.304336,0.687603,0.0,0.62897,0.068112,0.818933,0.151648
Majority Vote,32,0.18,1,0.942015,0.46417,0.0,0.464608,0.00439,0.822961,0.129883
Majority Vote,32,0.18,2,0.965136,0.466915,0.0,0.467596,0.004207,0.819617,0.130554
Majority Vote,32,0.18,3,1.478171,0.474682,0.056077,0.475028,0.001513,0.821301,0.132556
Majority Vote,32,0.18,4,1.285924,0.47182,0.032221,0.472423,0.004793,0.819202,0.132092
Majority Vote,32,0.18,5,1.610775,0.489943,0.076787,0.489361,0.008425,0.817834,0.135217
Majority Vote,64,0.01,0,0.016707,0.988864,0.0,0.589421,0.913805,0.97767,0.068652
Majority Vote,64,0.01,1,0.138646,0.919282,0.0,0.574711,0.913742,0.977039,0.071967
